type,dest_id,dest_name,other_id,other_name,dist_m
hotel-dup,5660,Geo Guest House,3029,Geo Guest House,1
hotel-dup,5659,Hotel Rise Inn,3028,Hotel Rise Inn,0
hotel-dup,5658,New Hotel Castle,3027,New Hotel Castle,0
hotel-dup,5657,Baba Lodge,3026,Baba Lodge,0
hotel-dup,5656,Ming Tang Garden Cottage,3025,Ming Tang Garden Cottage,0
hotel-dup,5655,Hotel The Lake,3024,Hotel The Lake,0
hotel-dup,5651,Sakura Guest House and Restaurant,3020,Sakura Guest House and Restaurant,0
hotel-dup,5650,Hotel The City Corner,3019,Hotel The City Corner,0
hotel-dup,5649,Apsara Hotel & Lodge,3018,Apsara Hotel & Lodge,0
hotel-dup,5648,Berlin Guest House,3017,Berlin Guest House,0
hotel-dup,5643,Kangaroo Lodge,3012,Kangaroo Lodge,0
hotel-dup,5640,Hotel The Cock,3009,Hotel The Cock,0
hotel-dup,5639,Hotel Liberty,3008,Hotel Liberty,0
hotel-dup,5638,Temple Himalaya Hotel,3007,Temple Himalaya Hotel,0
hotel-dup,5637,Hotel ABC,3006,Hotel ABC,0
hotel-dup,5635,WRC Guest House,3005,WRC Guest House,0
hotel-dup,5634,Laxmi Group Guest house,3004,Laxmi Group Guest house,0
hotel-dup,5631,Foksing Hill Resort,3001,Foksing Hill Resort,0
hotel-dup,5628,Hotel Mountain View,2999,Hotel Mountain View,0
hotel-dup,5627,Thapa hotel,2998,Thapa hotel,0
hotel-dup,5625,Hotel Waterside,2996,Hotel Waterside,0
hotel-dup,5617,Hotel Goodwill,2989,Hotel Goodwill,1
hotel-dup,5616,Neeru's Guesthouse,4247,Neeru's Guesthouse,0
hotel-dup,5612,Hotel P-Raj,2988,Hotel P-Raj,0
hotel-dup,5611,Hotel Raniban Arcade,2987,Hotel Raniban Arcade,1
hotel-dup,5609,Paradise Boutique Hotel,2985,Paradise Boutique Hotel,0
hotel-dup,5607,Pokhara Grande Hotel,2983,Pokhara Grande Hotel,8
hotel-dup,5605,Kalika Guest House,2982,Kalika Guest House,0
hotel-dup,5604,hotel adhmirekhara,2981,hotel adhmirekhara,1
hotel-dup,5602,Pokhara Eco Resort,2979,Pokhara Eco Resort,0
hotel-dup,5601,hotel white castel,2978,hotel white castel,0
hotel-dup,5600,Hotel Snow Leopard,2977,Hotel Snow Leopard,0
hotel-dup,5599,Hotel Sheraphic,2976,Hotel Sheraphic,1
hotel-dup,5598,Hotel Rosemarry,2975,Hotel Rosemarry,22
hotel-dup,5597,Hotel Rosemarry,2975,Hotel Rosemarry,2
hotel-dup,5596,Hotel Ranks Appartment,2974,Hotel Ranks Appartment,0
hotel-dup,5595,Hotel Point,2973,Hotel Point,0
hotel-dup,5594,Hotel Panaroma,2972,Hotel Panaroma,0
hotel-dup,5593,Hotel Maintain Dream,2971,Hotel Maintain Dream,0
hotel-dup,5592,Hotel Great Pokhara,2970,Hotel Great Pokhara,0
hotel-dup,5591,Hotel Grace,2969,Hotel Grace,0
hotel-dup,5590,Hotel Family Home,2968,Hotel Family Home,0
hotel-dup,5589,Hotel Delight Inn,2967,Hotel Delight Inn,0
hotel-dup,5588,Hotel Blevenue,2966,Hotel Blevenue,1
hotel-dup,5587,Silver Oaks Inn,2965,Silver Oaks Inn,0
hotel-dup,5584,hotel machhapuchre and lodge,2964,hotel machhapuchre and lodge,0
hotel-dup,5571,Phulbari Hotel,2962,Phulbari Hotel,16
hotel-dup,5569,Shankar Guesthouse,2629,Shankar Guesthouse,14
hotel-dup,5567,Hotel Laligurans,3810,Hotel Laligurans,0
hotel-dup,5566,Hotel Rainbow Attractive,2961,Hotel Rainbow Attractive,1
hotel-dup,5564,Kathmandu Eco Hotel,180,Kathmandu Eco Hotel,23
hotel-dup,5560,Mystique Highland Resort,2960,Mystique Highland Resort,9
hotel-dup,5557,Hotel Sakura,2959,Hotel Sakura,3
hotel-dup,5556,Hotel Murano,2958,Hotel Murano,0
hotel-dup,5555,Hotel Fewa Holi Inn,2957,Hotel Fewa Holi Inn,0
hotel-dup,5554,Hotel Himalayan Inn,2956,Hotel Himalayan Inn,0
hotel-dup,5553,Hotel Diplomat,2955,Hotel Diplomat,0
hotel-dup,5552,Temple Tree Resort & Spa,2954,Temple Tree Resort & Spa,5
hotel-dup,5549,Atithi Resort & Spa,2953,Atithi Resort & Spa,7
hotel-dup,5547,Hotel City Inn,2952,Hotel City Inn,0
hotel-dup,5546,Hotel Tara,2951,Hotel Tara,0
hotel-dup,5545,Hotel Orchid,2950,Hotel Orchid,0
hotel-dup,5540,Hotel Green Valley,1921,Hotel Green Valley,0
hotel-dup,5539,Romeo & Juliet Lodge,4246,Romeo & Juliet Lodge,0
hotel-dup,5532,Royal Mustang Resort,4245,Royal Mustang Resort,0
hotel-dup,5531,Dovan Guest House,2948,Dovan Guest House,1
hotel-dup,5530,Annapurna-Approach Lodge,2947,Annapurna-Approach Lodge,2
hotel-dup,5529,Tip Top Lodge,2946,Tip Top Lodge,1
hotel-dup,5528,Hotel Mountain Yak,4118,Hotel Mountain Yak,0
hotel-dup,5527,Himalchuli Laxmi Hotel,4117,Himalchuli Laxmi Hotel,0
hotel-dup,5526,Maya Hotel,4116,Maya Hotel,0
hotel-dup,5506,Hotel Old Village Inn,2945,Hotel Old Village Inn,0
hotel-dup,5505,Annapurna Guesthouse,2944,Annapurna Guesthouse,0
hotel-dup,5501,Laligures Guest House,2943,Laligures Guest House,0
hotel-dup,5479,Nikunj Safari Guest House Sauraha,1824,Nikunj Safari Guest House Sauraha,0
hotel-dup,5475,Hotel Hiranya,3808,Hotel Hiranya,0
hotel-dup,5474,Hotel Moonlight Kathmandu,3807,Hotel Moonlight Kathmandu,1
hotel-dup,5473,Manaslu Guest House,1920,Manaslu Guest House,0
hotel-dup,5472,Hotel Laxmi,1919,Hotel Laxmi,17
hotel-dup,5471,Hotel Laxmi,1919,Hotel Laxmi,0
hotel-dup,5464,Chautari Garden Resort,1823,Chautari Garden Resort,0
hotel-dup,5447,Kamala Guest House,2941,Kamala Guest House,24
hotel-dup,5446,Mira guesthouse & restaurant,2942,Mira guesthouse & restaurant,1
hotel-dup,5445,Kamala Guest House,2941,Kamala Guest House,1
hotel-dup,5444,Pratap Guest House,2940,Pratap Guest House,0
hotel-dup,5437,Larke Hotel & Lodge,1918,Larke Hotel & Lodge,0
hotel-dup,5436,Manaslu Hotel & Lodge,1917,Manaslu Hotel & Lodge,1
hotel-dup,5428,Hardik Hotel,3804,Hardik Hotel,0
hotel-dup,5418,Panaromic View Guesthouse,2939,Panaromic View Guesthouse,0
hotel-dup,5412,Hotel Manaslu,3803,Hotel Manaslu,5
hotel-dup,5410,Hotel Backpackers INN,3802,Hotel Backpackers INN,0
hotel-dup,5409,Shangri-la Boutique Hotel,3801,Shangri-la Boutique Hotel,0
hotel-dup,5408,Sakura hotel,3356,Sakura hotel,3
hotel-dup,5405,Mongolian cottage,1873,Mongolian cottage,24
hotel-dup,5404,Depche Village Resort,5004,Depche Village Resort,1
hotel-dup,5403,Rakshya Lodge,5003,Rakshya Lodge,0
hotel-dup,5402,Hotel Chumvally Restaurant and Lodge,1857,Hotel Chumvally Restaurant and Lodge,1
hotel-dup,5398,Paradise Hotel,3973,Paradise Hotel,1
hotel-dup,5396,Hotel Superb View & Top of the Town Restaurant,3972,Hotel Superb View & Top of the Town Restaurant,0
hotel-dup,5393,Diamond Hotel,1916,Diamond Hotel,0
hotel-dup,5392,Ashik Hotel,5002,Ashik Hotel,0
hotel-dup,5389,Family Guest House,5001,Family Guest House,0
hotel-dup,5387,The Old Inn,155,The Old Inn,85
hotel-dup,5385,Newa Hotel,4997,Newa Hotel,0
hotel-dup,5384,Hotel Maya & Restaurant,4996,Hotel Maya & Restaurant,0
hotel-dup,5383,Red Rose Hotel & Restaurant,4995,Red Rose Hotel & Restaurant,0
hotel-dup,5378,Hotel Tulsi,3970,Hotel Tulsi,0
hotel-dup,5377,Shrinki Guest House,1915,Shrinki Guest House,0
hotel-dup,5376,Shanti Guesthouse,1914,Shanti Guesthouse,1
hotel-dup,5369,Waterfront Resort,2938,Waterfront Resort,3
hotel-dup,5359,Dhampus Village Eco Lodge,2937,Dhampus Village Eco Lodge,0
hotel-dup,5355,Sherpa Guesthouse,2936,Sherpa Guesthouse,1
hotel-dup,5354,Tadapani Guest House,2612,Tadapani Guest House,0
hotel-dup,5353,Grand View Lodge,2935,Grand View Lodge,0
hotel-dup,5352,Hotel Tadapani Guest House,2934,Hotel Tadapani Guest House,1
hotel-dup,5335,See You Lodge,4164,See You Lodge,35
hotel-dup,5332,Gorkha Village Resort,2933,Gorkha Village Resort,30
hotel-dup,5331,Illam Pachthar Hotel and Lodge,3797,Illam Pachthar Hotel and Lodge,0
hotel-dup,5330,Chum Gate Way Hotel & Lodge,1913,Chum Gate Way Hotel & Lodge,0
hotel-dup,5329,kafle hotel,1822,kafle hotel,0
hotel-dup,5328,Vivanta Hotel,1821,Vivanta Hotel,0
hotel-dup,5327,Soni homestay,4115,Soni homestay,0
hotel-dup,5325,Island Jungle Resort,1820,Island Jungle Resort,2
hotel-dup,5324,Hotel Satanchuli In,1819,Hotel Satanchuli In,1
hotel-dup,5323,Hotel Image,1818,Hotel Image,0
hotel-dup,5321,Bharatpur Garden Resort,1816,Bharatpur Garden Resort,11
hotel-dup,5319,Hotel Woodland,3796,Hotel Woodland,2
hotel-dup,5244,Hotel High Desert,4243,Hotel High Desert,2
hotel-dup,5243,Hotel Nightingale,4242,Hotel Nightingale,0
hotel-dup,5242,Hotel 4 Seasons,4241,Hotel 4 Seasons,0
hotel-dup,5237,Ambience Guest House,3909,Ambience Guest House,0
hotel-dup,5235,Gateway Himalayan Resort,3968,Gateway Himalayan Resort,1
hotel-dup,5234,Hotel Moonlight Resort,2932,Hotel Moonlight Resort,2
hotel-dup,5233,Hotel LakeSide,2931,Hotel LakeSide,3
hotel-dup,5231,Hotel New Yak,4112,Hotel New Yak,0
hotel-dup,5230,Himalaya Lodge,4111,Himalaya Lodge,0
hotel-dup,5220,Hotel Norling,4239,Hotel Norling,0
hotel-dup,5219,Potala Guest House,4238,Potala Guest House,0
hotel-dup,5218,Hotel Caravan,4237,Hotel Caravan,0
hotel-dup,5208,Shrestha Guest House,3794,Shrestha Guest House,0
hotel-dup,5207,New Panas Hotel,3793,New Panas Hotel,0
hotel-dup,5204,Hotel Karuna,2331,Hotel Karuna,0
hotel-dup,5203,Octagon Guesthouse,2930,Octagon Guesthouse,0
hotel-dup,5195,Hotel Mount Kailash,4236,Hotel Mount Kailash,0
hotel-dup,5194,The Face Resort,4235,The Face Resort,2
hotel-dup,5193,Hotel Moonlight,4234,Hotel Moonlight,0
hotel-dup,5191,Hotel Super View Ngadi,3967,Hotel Super View Ngadi,0
hotel-dup,5190,Holidays Trekkers Lodge & Restaurant,3966,Holidays Trekkers Lodge & Restaurant,0
hotel-dup,5189,Hotel Mountain Lake,4110,Hotel Mountain Lake,1
hotel-dup,5180,Tilicho Hotel & Restaurant,4109,Tilicho Hotel & Restaurant,1
hotel-dup,5179,Himalayan Singi Hotel,4108,Himalayan Singi Hotel,0
hotel-dup,5178,Hotel Yeti,4107,Hotel Yeti,0
hotel-dup,5165,Kotee Home Hotel,2927,Kotee Home Hotel,0
hotel-dup,5163,Hotel New Sahara,3792,Hotel New Sahara,1
hotel-dup,5160,@home Guesthouse,3906,@home Guesthouse,0
hotel-dup,5159,Peace Lodge,1912,Peace Lodge,0
hotel-dup,5158,Zambala Hotel,1859,Zambala Hotel,19
hotel-dup,5156,ponkar ganga hotel,4106,ponkar ganga hotel,0
hotel-dup,5151,Hotel Brihaspati,3789,Hotel Brihaspati,0
hotel-dup,5150,"Hotel Ambassador, Lazimpat",3788,"Hotel Ambassador, Lazimpat",0
hotel-dup,5149,Hotel Pacific Pvt.Ltd,3787,Hotel Pacific Pvt.Ltd,0
hotel-dup,5147,Hotel Tibet,3785,Hotel Tibet,0
hotel-dup,5146,The Fern Residency Platinum,3784,The Fern Residency Platinum,0
hotel-dup,5145,Grand Hotel,97,Grand Hotel,10
hotel-dup,5144,Tise Guesthouse,3782,Tise Guesthouse,0
hotel-dup,5131,Hotel Golden,3781,Hotel Golden,0
hotel-dup,5130,Hotel Twin Tower,3780,Hotel Twin Tower,0
hotel-dup,5129,Parbat Shikhar Hotel,3779,Parbat Shikhar Hotel,0
hotel-dup,5128,Hotel Pomelo House Inn,3778,Hotel Pomelo House Inn,0
hotel-dup,5127,Hotel Orchid,3777,Hotel Orchid,0
hotel-dup,5125,Hotel Mahadev,3775,Hotel Mahadev,0
hotel-dup,5122,Lake View Resort,2926,Lake View Resort,0
hotel-dup,5121,Hotel Trekkers Paradise,2925,Hotel Trekkers Paradise,0
hotel-dup,5120,Hotel Tiger Top & Restaurant,2924,Hotel Tiger Top & Restaurant,0
hotel-dup,5119,Hotel Fishtail & Restaurant,2923,Hotel Fishtail & Restaurant,0
hotel-dup,5118,Super View Lodge,2922,Super View Lodge,0
hotel-dup,5117,Sun Rise Lodge and Restaurant,2921,Sun Rise Lodge and Restaurant,0
hotel-dup,5116,Snowland Lodge and Restaurant,2920,Snowland Lodge and Restaurant,0
hotel-dup,5114,Sangrila Guest House,2918,Sangrila Guest House,0
hotel-dup,5113,Panorama Guest House,2917,Panorama Guest House,0
hotel-dup,5111,New Chhomrong Guest House and Restaurant,2916,New Chhomrong Guest House and Restaurant,1
hotel-dup,5110,Monalisha Lodge (Moonlight),2915,Monalisha Lodge (Moonlight),1
hotel-dup,5109,Maya Guest House and Restaurant,2914,Maya Guest House and Restaurant,0
hotel-dup,5107,Lucky Guest House and Restaurant,2913,Lucky Guest House and Restaurant,0
hotel-dup,5106,Hotel Laligurans,2912,Hotel Laligurans,0
hotel-dup,5105,Kimrong Guest House,2911,Kimrong Guest House,0
hotel-dup,5104,Hotel Rest Camp and Restaurant,2910,Hotel Rest Camp and Restaurant,0
hotel-dup,5101,Hungry Eye Lodge and Restaurant,2907,Hungry Eye Lodge and Restaurant,0
hotel-dup,5100,Hotel Tibet Guest House and Restaurant,2906,Hotel Tibet Guest House and Restaurant,0
hotel-dup,5099,Hotel Sherpa and Restaurant,2905,Hotel Sherpa and Restaurant,0
hotel-dup,5098,Hotel Sherpa,2904,Hotel Sherpa,0
hotel-dup,5097,Hotel River Side and Restaurant,2903,Hotel River Side and Restaurant,0
hotel-dup,5096,Hotel Mount Travel and Restaurant,2902,Hotel Mount Travel and Restaurant,0
hotel-dup,5095,Hotel Machhapuchhre Samjhana & Restaurant,2901,Hotel Machhapuchhre Samjhana & Restaurant,0
hotel-dup,5094,Hotel Lali Gurans Restaurant,2900,Hotel Lali Gurans Restaurant,0
hotel-dup,5093,Hotel Hungry Eye and Restaurant,2899,Hotel Hungry Eye and Restaurant,2
hotel-dup,5092,Hotel Gurans & Devkota Camping Place,2898,Hotel Gurans & Devkota Camping Place,1
hotel-dup,5091,Hotel Forest Camp and Restaurant,2897,Hotel Forest Camp and Restaurant,0
hotel-dup,5090,Honest Lodge and Restaurant,2896,Honest Lodge and Restaurant,0
hotel-dup,5089,Hiunchuli Lodge and Restaurant,2895,Hiunchuli Lodge and Restaurant,0
hotel-dup,5086,Heaven View Guest House and Restaurant,2894,Heaven View Guest House and Restaurant,0
hotel-dup,5085,Green View Guest House and Restaurant,2893,Green View Guest House and Restaurant,0
hotel-dup,5084,Ghandruk Guest House and Restaurant,2676,Ghandruk Guest House and Restaurant,16
hotel-dup,5082,Excellent View Top Lodge and Restaurant,2892,Excellent View Top Lodge and Restaurant,0
hotel-dup,5081,Ex Captain Lali Gurans Guest House,2891,Ex Captain Lali Gurans Guest House,0
hotel-dup,5080,Elysium Guest House,2890,Elysium Guest House,0
hotel-dup,5079,Chomrong Mountain View Lodge and Restaurant,2889,Chomrong Mountain View Lodge and Restaurant,0
hotel-dup,5078,Chomrong Cottage,2888,Chomrong Cottage,1
hotel-dup,5077,Australian Camp Guest House and Restaurant,2887,Australian Camp Guest House and Restaurant,0
hotel-dup,5076,Angel's Guest House and Restaurant,2886,Angel's Guest House and Restaurant,1
hotel-dup,5074,Hotel Silver Home,3369,Hotel Silver Home,54
hotel-dup,5073,Annapurna Guesthouse and Restaurant,2885,Annapurna Guesthouse and Restaurant,0
hotel-dup,5072,Hotel Vacation Home & Restaurant,2884,Hotel Vacation Home & Restaurant,1
hotel-dup,5071,Fishtail Guest House and Restaurant,2883,Fishtail Guest House and Restaurant,0
hotel-dup,5070,Trekkers Inn Lodge and Restaurant,2882,Trekkers Inn Lodge and Restaurant,0
hotel-dup,5068,Nabin Tanbee Restaurant and Guest House,1669,Nabin Tanbee Restaurant and Guest House,1
hotel-dup,5063,Dream Nepal Hotel and Apartment,3771,Dream Nepal Hotel and Apartment,0
hotel-dup,5062,Chill Out Resort,3770,Chill Out Resort,0
hotel-dup,5061,Hotel Siddhartha Gautam,3769,Hotel Siddhartha Gautam,0
hotel-dup,5057,Summit Holiday Home Hotel,3768,Summit Holiday Home Hotel,0
hotel-dup,5056,Royal Penguin Boutique Hotel,3767,Royal Penguin Boutique Hotel,2
hotel-dup,5054,Kathmandu Boutique Hotel,3766,Kathmandu Boutique Hotel,0
hotel-dup,5052,Hotel Lai Lai,3765,Hotel Lai Lai,1
hotel-dup,5051,Royal Penguin Boutique Hotel Pvt. Ltd,3764,Royal Penguin Boutique Hotel Pvt. Ltd,1
hotel-dup,5044,Hotel Pashupati Darshan,3763,Hotel Pashupati Darshan,0
hotel-dup,5033,Mi Casa Hotel in Nepal,3759,Mi Casa Hotel in Nepal,0
hotel-dup,5032,Hotel Tradition,3758,Hotel Tradition,0
hotel-dup,5031,Festoon Hotel Pvt. Ltd,3752,Festoon Hotel Pvt. Ltd,45
hotel-dup,5030,Hotel Blue Horizon,3757,Hotel Blue Horizon,0
hotel-dup,5028,Kathmandu Guesthouse,3485,Kathmandu Guest House,79
hotel-dup,5027,Hotel Florid,3755,Hotel Florid,1
hotel-dup,5025,Hotel Lucky Star,3754,Hotel Lucky Star,0
hotel-dup,5023,Festoon Hotel Pvt. Ltd,3752,Festoon Hotel Pvt. Ltd,0
hotel-dup,5022,Avataar Kathmandu Hotel,3751,Avataar Kathmandu Hotel,0
hotel-dup,5021,Shree Tibet Family Guest House,3750,Shree Tibet Family Guest House,0
