ID,Police Station,Destination,Address,Phone,Latitude,Longitude,District,Province
68,District Police Office Myagdi,Beni,"Beni, Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
69,Police Station Tatopani,Tatopani,"Tatopani, Myagdi, Nepal",,28.5000,83.6500,Myagdi,Gandaki
70,District Police Office Nawalpur,Kawasoti,"Kawasoti, Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
71,Police Station Gaindakot,Gaindakot,"Gaindakot, Nawalpur, Nepal",,27.7000,84.3900,Nawalpur,Gandaki
72,District Police Office Rupandehi,Bhairahawa,"Bhairahawa, Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
73,Area Police Office Butwal,Butwal,"Butwal, Rupandehi, Nepal",,27.7000,83.4500,Rupandehi,Lumbini
74,Police Station Belbas,Butwal,"Belbas, Butwal, Nepal",,27.6800,83.4200,Rupandehi,Lumbini
75,Police Station Sidharthanagar,Siddharthanagar,"Siddharthanagar, Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
76,District Police Office Kapilvastu,Taulihawa,"Taulihawa, Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
77,Police Station Krishnanagar,Krishnanagar,"Krishnanagar, Kapilvastu, Nepal",,27.4200,82.9200,Kapilvastu,Lumbini
78,District Police Office Palpa,Tansen,"Tansen, Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
79,Police Station Rampur,Rampur,"Rampur, Palpa, Nepal",,27.9200,83.9100,Palpa,Lumbini
80,District Police Office Gulmi,Tamghas,"Tamghas, Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
81,Police Station Resunga,Resunga,"Resunga, Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
82,District Police Office Arghakhanchi,Sandhikharka,"Sandhikharka, Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
83,Police Station Chutrabesi,Sandhikharka,"Chutrabesi, Arghakhanchi, Nepal",,27.9400,83.1300,Arghakhanchi,Lumbini
84,District Police Office Dang,Ghorahi,"Ghorahi, Dang, Nepal",+977-82-560199,28.0350,82.4800,Dang,Lumbini
85,Police Station Tulsipur,Tulsipur,"Tulsipur, Dang, Nepal",,28.1300,82.3000,Dang,Lumbini
86,Police Station Lamahi,Lamahi,"Lamahi, Dang, Nepal",,27.8500,82.5500,Dang,Lumbini
87,District Police Office Banke,Nepalgunj,"Nepalgunj, Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
88,Police Station Kohalpur,Kohalpur,"Kohalpur, Banke, Nepal",,28.2100,81.6800,Banke,Lumbini
89,District Police Office Bardiya,Gulariya,"Gulariya, Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
90,Police Station Rajapur,Rajapur,"Rajapur, Bardiya, Nepal",,28.8800,81.1000,Bardiya,Lumbini
91,District Police Office Sunsari,Inaruwa,"Inaruwa, Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
92,Area Police Office Dharan,Dharan,"Dharan, Sunsari, Nepal",,26.8100,87.2800,Sunsari,Koshi
93,Police Station Itahari,Itahari,"Itahari, Sunsari, Nepal",,26.6600,87.2700,Sunsari,Koshi
94,District Police Office Morang,Biratnagar,"Biratnagar, Morang, Nepal",+977-21-462158,26.4500,87.2700,Morang,Koshi
95,Police Station Rangeli,Rangeli,"Rangeli, Morang, Nepal",,26.4500,87.4500,Morang,Koshi
96,District Police Office Jhapa,Bhadrapur,"Bhadrapur, Jhapa, Nepal",,26.5400,88.0900,Jhapa,Koshi
97,Police Station Birtamode,Birtamode,"Birtamode, Jhapa, Nepal",,26.6400,88.0000,Jhapa,Koshi
98,District Police Office Ilam,Ilam,"Ilam Bazaar, Nepal",,26.9100,87.9300,Ilam,Koshi
99,Police Station Phidim,Phidim,"Phidim, Panchthar, Nepal",,27.1500,87.7500,Panchthar,Koshi
100,District Police Office Taplejung,Taplejung,"Taplejung Bazaar, Nepal",,27.3500,87.6700,Taplejung,Koshi
101,District Police Office Sankhuwasabha,Khandbari,"Khandbari, Sankhuwasabha, Nepal",,27.3800,87.2000,Sankhuwasabha,Koshi
102,Police Station Chainpur,Chainpur,"Chainpur, Sankhuwasabha, Nepal",,27.2800,87.3000,Sankhuwasabha,Koshi
103,District Police Office Bhojpur,Bhojpur,"Bhojpur Bazaar, Nepal",,27.1700,87.0500,Bhojpur,Koshi
104,Police Station Dingla,Dingla,"Dingla, Bhojpur, Nepal",,27.2000,87.1000,Bhojpur,Koshi
105,District Police Office Dhankuta,Dhankuta,"Dhankuta Bazaar, Nepal",,26.9800,87.3400,Dhankuta,Koshi
106,Police Station Hile,Hile,"Hile, Dhankuta, Nepal",,27.0100,87.3000,Dhankuta,Koshi
107,District Police Office Khotang,Diktel,"Diktel, Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
108,Police Station Halesi,Halesi,"Halesi, Khotang, Nepal",,27.0500,86.7300,Khotang,Koshi
109,District Police Office Solukhumbu,Salleri,"Salleri, Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
110,Police Station Lukla,Lukla,"Lukla, Solukhumbu, Nepal",,27.6900,86.7300,Solukhumbu,Koshi
111,District Police Office Okhaldhunga,Okhaldhunga,"Okhaldhunga Bazaar, Nepal",,27.3100,86.5000,Okhaldhunga,Koshi
112,Police Station Manebhanjyang,Manebhanjyang,"Okhaldhunga, Nepal",,27.2800,86.5500,Okhaldhunga,Koshi
113,District Police Office Udayapur,Gaiघat,"Gaighat, Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
114,Police Station Katari,Katari,"Katari, Udayapur, Nepal",,26.0300,86.1700,Udayapur,Koshi
115,District Police Office Saptari,Rajbiraj,"Rajbiraj, Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
116,Police Station Kadarbona,Kadarbona,"Saptari, Nepal",,26.5800,86.6500,Saptari,Madhesh
117,District Police Office Siraha,Siraha,"Siraha Bazaar, Nepal",,26.6500,86.2000,Siraha,Madhesh
118,Police Station Lahan,Lahan,"Lahan, Siraha, Nepal",,26.7200,86.4800,Siraha,Madhesh
119,District Police Office Dhanusha,Janakpur,"Janakpur, Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
120,Police Station Janakpur,Janakpur,"Janakpur Sub-Metropolitan City, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
121,District Police Office Mahottari,Jaleshwar,"Jaleshwar, Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
122,Police Station Bardibas,Bardibas,"Bardibas, Mahottari, Nepal",,26.9900,85.9000,Mahottari,Madhesh
123,District Police Office Sarlahi,Malangwa,"Malangwa, Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
124,Police Station Lalbandi,Lalbandi,"Lalbandi, Sarlahi, Nepal",,27.0300,85.5500,Sarlahi,Madhesh
125,District Police Office Rautahat,Gaur,"Gaur, Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
126,Police Station Chandrapur,Chandrapur,"Chandrapur, Rautahat, Nepal",,27.0000,85.4200,Rautahat,Madhesh
127,District Police Office Bara,Kalaiya,"Kalaiya, Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
128,Police Station Simara,Simara,"Simara, Bara, Nepal",,27.1600,84.9800,Bara,Madhesh
129,District Police Office Parsa,Birgunj,"Birgunj, Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
130,Police Station Birgunj,Birgunj,"Birgunj Metropolitan City, Nepal",,27.0100,84.8800,Parsa,Madhesh
131,District Police Office Dolakha,Charikot,"Charikot, Dolakha, Nepal",,27.6700,86.0500,Dolakha,Bagmati
132,Police Station Jiri,Jiri,"Jiri, Dolakha, Nepal",,27.6300,86.2300,Dolakha,Bagmati
133,District Police Office Ramechhap,Manthali,"Manthali, Ramechhap, Nepal",,27.3900,86.0600,Ramechhap,Bagmati
134,Police Station Ramechhap,Ramechhap,"Ramechhap Bazaar, Nepal",,27.3300,86.0800,Ramechhap,Bagmati
135,District Police Office Sindhuli,Sindhulimadhi,"Sindhulimadhi, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
136,Police Station Bardibas Highway Checkpoint,Sindhuli,"BP Highway Area, Sindhuli, Nepal",,27.2000,86.0000,Sindhuli,Bagmati
137,District Police Office Baglung,Baglung,"Baglung Bazaar, Nepal",,28.2700,83.5900,Baglung,Gandaki
138,Police Station Jaimini,Jaimini,"Jaimini Municipality, Baglung, Nepal",,28.2500,83.6000,Baglung,Gandaki
139,District Police Office Mustang,Jomsom,"Jomsom, Mustang, Nepal",,28.7800,83.7200,Mustang,Gandaki
140,Police Station Muktinath,Muktinath,"Muktinath Area, Mustang, Nepal",,28.8200,83.8700,Mustang,Gandaki
141,District Police Office Manang,Chame,"Chame, Manang, Nepal",,28.5500,84.2300,Manang,Gandaki
142,Police Station Pisang,Pisang,"Pisang, Manang, Nepal",,28.6700,84.1800,Manang,Gandaki
143,District Police Office Rukum East,Rukumkot,"Rukumkot, Rukum East, Nepal",,28.6300,82.6300,Rukum East,Lumbini
144,Police Station Musikot,Musikot,"Musikot, Rukum East, Nepal",,28.6300,82.4800,Rukum East,Lumbini
145,District Police Office Rolpa,Liwang,"Liwang, Rolpa, Nepal",,28.3000,82.6300,Rolpa,Lumbini
146,Police Station Sulichaur,Sulichaur,"Sulichaur, Rolpa, Nepal",,28.4200,82.7000,Rolpa,Lumbini
147,District Police Office Pyuthan,Pyuthan,"Pyuthan Khalanga, Nepal",,28.0900,82.8600,Pyuthan,Lumbini
148,Police Station Bijuwar,Bijuwar,"Bijuwar, Pyuthan, Nepal",,28.1000,82.8500,Pyuthan,Lumbini
149,District Police Office Salyan,Salyan,"Salyan Khalanga, Nepal",,28.3800,82.1700,Salyan,Karnali
150,Police Station Shreenagar,Shreenagar,"Salyan, Nepal",,28.4500,82.2000,Salyan,Karnali
151,District Police Office Surkhet,Birendranagar,"Birendranagar, Surkhet, Nepal",,28.6000,81.6300,Surkhet,Karnali
152,Police Station Chhinchu,Chhinchu,"Chhinchu, Surkhet, Nepal",,28.4500,81.7500,Surkhet,Karnali
153,Police Station Babiyachaur,Babiyachaur,"Surkhet, Nepal",,28.6500,81.5000,Surkhet,Karnali
154,District Police Office Dailekh,Dailekh,"Dailekh Bazaar, Nepal",,28.8500,81.7100,Dailekh,Karnali
155,Police Station Dullu,Dullu,"Dullu, Dailekh, Nepal",,28.8300,81.7200,Dailekh,Karnali
156,District Police Office Jajarkot,Khalanga,"Jajarkot Khalanga, Nepal",,28.7000,82.1800,Jajarkot,Karnali
157,Police Station Chhedagad,Chhedagad,"Jajarkot, Nepal",,28.6000,82.2000,Jajarkot,Karnali
158,District Police Office Kalikot,Manma,"Manma, Kalikot, Nepal",,29.1500,81.6200,Kalikot,Karnali
159,Police Station Raskot,Raskot,"Kalikot, Nepal",,29.1000,81.6000,Kalikot,Karnali
160,District Police Office Jumla,Chandannath,"Jumla Khalanga, Nepal",,29.2700,82.1800,Jumla,Karnali
161,Police Station Sinja,Sinja,"Sinja Valley, Jumla, Nepal",,29.3200,81.9800,Jumla,Karnali
162,District Police Office Mugu,Gamgadhi,"Gamgadhi, Mugu, Nepal",,29.5300,82.0900,Mugu,Karnali
163,Police Station Rara,Rara,"Rara Area, Mugu, Nepal",,29.5200,82.0800,Mugu,Karnali
164,District Police Office Dolpa,Dunai,"Dunai, Dolpa, Nepal",,29.0000,82.8200,Dolpa,Karnali
165,Police Station Juphal,Juphal,"Juphal, Dolpa, Nepal",,29.2800,82.8200,Dolpa,Karnali
166,District Police Office Kailali,Dhangadhi,"Dhangadhi, Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
167,Area Police Office Attariya,Attariya,"Attariya, Kailali, Nepal",,28.9700,80.6000,Kailali,Sudurpashchim
168,Police Station Tikapur,Tikapur,"Tikapur, Kailali, Nepal",,28.5200,81.1200,Kailali,Sudurpashchim
169,District Police Office Kanchanpur,Bhimdatta,"Mahendranagar, Kanchanpur, Nepal",,28.9600,80.1800,Kanchanpur,Sudurpashchim
170,Police Station Gaddachauki,Gaddachauki,"Gaddachauki Border Area, Kanchanpur, Nepal",,28.9500,80.0800,Kanchanpur,Sudurpashchim
171,District Police Office Dadeldhura,Dadeldhura,"Dadeldhura Bazaar, Nepal",,29.3000,80.5800,Dadeldhura,Sudurpashchim
172,Police Station Jogbudha,Jogbudha,"Dadeldhura, Nepal",,29.2000,80.4500,Dadeldhura,Sudurpashchim
173,District Police Office Baitadi,Baitadi,"Dasharathchand, Baitadi, Nepal",,29.5200,80.4300,Baitadi,Sudurpashchim
174,Police Station Patan,Patan,"Patan, Baitadi, Nepal",,29.5000,80.6000,Baitadi,Sudurpashchim
175,District Police Office Darchula,Darchula,"Khalanga, Darchula, Nepal",,29.8500,80.5500,Darchula,Sudurpashchim
176,Police Station Gokuleshwor,Gokuleshwor,"Darchula, Nepal",,29.7000,80.6500,Darchula,Sudurpashchim
177,District Police Office Bajura,Martadi,"Martadi, Bajura, Nepal",,29.4200,81.4200,Bajura,Sudurpashchim
178,Police Station Kolti,Kolti,"Kolti, Bajura, Nepal",,29.4500,81.6000,Bajura,Sudurpashchim
179,District Police Office Bajhang,Chainpur,"Chainpur, Bajhang, Nepal",,29.5500,81.1800,Bajhang,Sudurpashchim
180,Police Station Bungal,Bungal,"Bajhang, Nepal",,29.6500,81.2500,Bajhang,Sudurpashchim
181,Metropolitan Police Circle Kapan,Kapan,"Kapan, Kathmandu, Nepal",,27.7400,85.3600,Kathmandu,Bagmati
182,Metropolitan Police Circle Chhetrapati,Chhetrapati,"Kathmandu, Nepal",,27.7150,85.3050,Kathmandu,Bagmati
183,Metropolitan Police Circle New Baneshwor,Baneshwor,"Kathmandu, Nepal",,27.6900,85.3400,Kathmandu,Bagmati
184,Metropolitan Police Circle Darbar Marg,Darbar Marg,"Kathmandu, Nepal",,27.7110,85.3180,Kathmandu,Bagmati
185,Metropolitan Police Circle Swayambhu,Swayambhu,"Kathmandu, Nepal",,27.7140,85.2900,Kathmandu,Bagmati
186,Police Station Budhanilkantha,Budhanilkantha,"Kathmandu, Nepal",,27.7800,85.3600,Kathmandu,Bagmati
187,Police Station Tokha,Tokha,"Kathmandu, Nepal",,27.7600,85.3300,Kathmandu,Bagmati
188,Police Station Mulpani,Mulpani,"Kathmandu, Nepal",,27.7300,85.3900,Kathmandu,Bagmati
189,Police Station Pharping,Pharping,"Kathmandu, Nepal",,27.6100,85.2600,Kathmandu,Bagmati
190,Police Station Dakshinkali,Dakshinkali,"Kathmandu, Nepal",,27.6000,85.2600,Kathmandu,Bagmati
191,Police Station Chapagaun,Chapagaun,"Lalitpur, Nepal",,27.5900,85.3300,Lalitpur,Bagmati
192,Police Station Imadol,Imadol,"Lalitpur, Nepal",,27.6500,85.3700,Lalitpur,Bagmati
193,Police Station Lubhu,Lubhu,"Lalitpur, Nepal",,27.6200,85.3900,Lalitpur,Bagmati
194,Police Station Godawari,Godawari,"Lalitpur, Nepal",,27.5900,85.4200,Lalitpur,Bagmati
195,Police Station Tikathali,Tikathali,"Lalitpur, Nepal",,27.6500,85.3900,Lalitpur,Bagmati
196,Police Station Dadhikot,Dadhikot,"Bhaktapur, Nepal",,27.6700,85.4500,Bhaktapur,Bagmati
197,Police Station Nangkhel,Nangkhel,"Bhaktapur, Nepal",,27.6500,85.4500,Bhaktapur,Bagmati
198,Police Station Sipadol,Sipadol,"Bhaktapur, Nepal",,27.6500,85.4200,Bhaktapur,Bagmati
199,Police Station Bode,Bode,"Bhaktapur, Nepal",,27.6900,85.4100,Bhaktapur,Bagmati
200,Police Station Sanga,Sanga,"Bhaktapur/Kavre Border, Nepal",,27.6700,85.5000,Bhaktapur,Bagmati
201,District Police Office Nawalparasi East,Kawasoti,"Kawasoti, Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
202,Police Station Devchuli,Devchuli,"Devchuli, Nawalpur, Nepal",,27.7000,84.2500,Nawalpur,Gandaki
203,Police Station Madhyabindu,Madhyabindu,"Nawalpur, Nepal",,27.5800,84.0800,Nawalpur,Gandaki
204,Police Station Arunkhola,Arunkhola,"Nawalpur, Nepal",,27.6000,84.0500,Nawalpur,Gandaki
205,District Police Office Kaski Area Police Office Hemja,Hemja,"Hemja, Pokhara, Nepal",,28.2600,83.9100,Kaski,Gandaki
206,Police Station Sarangkot,Sarangkot,"Sarangkot, Pokhara, Nepal",,28.2500,83.9500,Kaski,Gandaki
207,Police Station Chapakot,Chapakot,"Syangja, Nepal",,27.9800,83.7700,Syangja,Gandaki
208,Police Station Arjunchaupari,Arjunchaupari,"Syangja, Nepal",,28.0800,83.8500,Syangja,Gandaki
209,Police Station Kolma,Kolma,"Syangja, Nepal",,28.0500,83.8000,Syangja,Gandaki
210,Police Station Galyang,Galyang,"Syangja, Nepal",,27.9500,83.7600,Syangja,Gandaki
211,Police Station Modi,Kushma Area,"Parbat, Nepal",,28.2500,83.7000,Parbat,Gandaki
212,Police Station Jaljala,Jaljala,"Parbat, Nepal",,28.2600,83.6700,Parbat,Gandaki
213,Police Station Huwas,Huwas,"Parbat, Nepal",,28.1000,83.7000,Parbat,Gandaki
214,Police Station Dhorpatan,Dhorpatan,"Baglung, Nepal",,28.5000,83.0000,Baglung,Gandaki
215,Police Station Galkot,Galkot,"Baglung, Nepal",,28.3500,83.4200,Baglung,Gandaki
216,Police Station Burtibang Area,Burtibang,"Baglung, Nepal",,28.3300,83.1300,Baglung,Gandaki
217,Police Station Malika,Malika,"Myagdi, Nepal",,28.4200,83.5500,Myagdi,Gandaki
218,Police Station Darbang,Darbang,"Myagdi, Nepal",,28.4500,83.5000,Myagdi,Gandaki
219,Police Station Ghodepani,Ghodepani,"Myagdi, Nepal",,28.4000,83.6900,Myagdi,Gandaki
220,Police Station Jomsom Area,Jomsom,"Mustang, Nepal",,28.7800,83.7200,Mustang,Gandaki
221,Police Station Kagbeni,Kagbeni,"Mustang, Nepal",,28.8400,83.7800,Mustang,Gandaki
222,Police Station Marpha,Marpha,"Mustang, Nepal",,28.7500,83.6800,Mustang,Gandaki
223,Police Station Lo Manthang,Lo Manthang,"Mustang, Nepal",,29.1800,83.9600,Mustang,Gandaki
224,Police Station Chame,Chame,"Manang, Nepal",,28.5500,84.2300,Manang,Gandaki
225,Police Station Manang Village,Manang,"Manang, Nepal",,28.6700,84.0200,Manang,Gandaki
226,Police Station Tal,Tal,"Manang, Nepal",,28.5200,84.3500,Manang,Gandaki
227,District Police Office Rupandehi Traffic Office,Butwal,"Butwal, Rupandehi, Nepal",,27.7000,83.4500,Rupandehi,Lumbini
228,Police Station Manigram,Manigram,"Rupandehi, Nepal",,27.6500,83.4000,Rupandehi,Lumbini
229,Police Station Devdaha,Devdaha,"Rupandehi, Nepal",,27.6000,83.5500,Rupandehi,Lumbini
230,Police Station Lumbini,Lumbini,"Lumbini, Nepal",,27.4700,83.2800,Rupandehi,Lumbini
231,Police Station Taulihawa Area,Taulihawa,"Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
232,Police Station Chandrauta,Chandrauta,"Kapilvastu, Nepal",,27.5700,82.9200,Kapilvastu,Lumbini
