place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Panchadewal Temple,29.2,81.3,Achham,1.0,3.0,0.0,4.0,4.0,8,6,2,35.0,30.0,32.0,Medium,100.0
Ramaroshan Area,29.25,81.35,Achham,3.0,9.0,2.0,4.0,6.0,0,1,0,90.0,75.0,81.0,High,100.0
Ramaroshan Forest Camp,29.1,81.35,Achham,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Ramaroshan Lake,29.1,81.2,Achham,5.0,8.0,0.0,8.0,5.0,10,10,3,55.0,60.0,65.0,Medium,100.0
Ramaroshan Lake Trail,29.1,81.2,Achham,5.0,8.0,0.0,8.0,5.0,10,10,3,55.0,60.0,65.0,Medium,100.0
Ramaroshan Rural Area,29.35,81.3,Achham,8.0,13.0,4.0,8.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Ramaroshan Rural Lake,29.15,81.3,Achham,8.0,12.0,3.0,5.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Ramaroshan Rural Trail,29.35,81.3,Achham,8.0,13.0,4.0,8.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Ramaroshan Tourism Area,29.35,81.05,Achham,4.0,10.0,2.0,5.0,6.0,1,1,0,85.0,80.0,84.0,High,100.0
Ramaroshan Trek Route,29.28,81.4,Achham,4.0,10.0,3.0,4.0,7.0,0,0,0,100.0,85.0,92.0,High,100.0
Ramaroshan Valley,29.3,81.05,Achham,5.0,11.0,3.0,5.0,7.0,1,1,0,90.0,85.0,87.0,High,100.0
Ramaroshan View Tower,29.25,81.35,Achham,5.0,12.0,5.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
Ramarshan Lake,29.25,81.35,Achham,6.0,14.0,8.0,3.0,9.0,0,0,0,95.0,90.0,93.0,High,100.0
Saileshwari Temple,29.35,81.25,Achham,2.0,3.0,0.0,5.0,4.0,50,40,15,15.0,30.0,35.0,Low,100.0
Sanphebagar,29.25,81.2,Achham,1.0,4.0,0.0,8.0,4.0,10,8,2,40.0,45.0,42.0,Medium,100.0
Sanphebagar Airport Area,29.24,81.22,Achham,1.0,3.0,0.0,5.0,3.0,8,6,2,35.0,35.0,35.0,Medium,100.0
Sanphebagar Area,29.25,81.2,Achham,1.0,4.0,0.0,8.0,4.0,10,8,2,40.0,45.0,42.0,Medium,100.0
Sanphebagar Rural Route,29.25,81.2,Achham,2.0,4.0,0.0,12.0,4.0,60,50,20,15.0,30.0,35.0,Low,100.0
Sanphebagar Rural Trail,29.25,81.2,Achham,3.0,5.0,0.0,12.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Tribeni Khaptad Route,29.25,81.15,Achham,6.0,10.0,2.0,5.0,7.0,5,5,2,65.0,70.0,72.0,High,100.0
Arghakhanchi Mountain Route,28.05,83.1,Arghakhanchi,4.0,7.0,0.0,6.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Arghakhanchi Sandhikharka Trail,28.0,83.12,Arghakhanchi,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Arghakhanchi Supa Deurali,27.97,83.12,Arghakhanchi,2.0,3.0,0.0,3.0,4.0,30,25,10,15.0,25.0,30.0,Low,100.0
Arghakhanchi Supadeurali,28.05,83.1,Arghakhanchi,4.0,7.0,0.0,6.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Jaluke Area,28.05,83.0,Arghakhanchi,3.0,7.0,1.0,4.0,6.0,3,3,1,65.0,65.0,65.0,High,100.0
Khadkawada Rural Route,28.0,83.0,Arghakhanchi,3.0,5.0,0.0,5.0,4.0,60,50,20,10.0,25.0,30.0,Low,100.0
Sandhikharka Bazaar,28.1,83.12,Arghakhanchi,1.0,3.0,0.0,4.0,5.0,12,10,3,30.0,35.0,32.0,Low,100.0
Sandhikharka View,28.13,83.12,Arghakhanchi,1.0,3.0,0.0,3.0,4.0,12,10,3,30.0,30.0,30.0,Low,100.0
Supa Deurali Temple,28.1,83.12,Arghakhanchi,2.0,5.0,0.0,4.0,5.0,8,6,2,45.0,40.0,42.0,Medium,100.0
Supadeurali Rural Route,28.05,83.1,Arghakhanchi,4.0,7.0,0.0,5.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Supadeurali Temple,27.97,83.12,Arghakhanchi,2.0,3.0,0.0,3.0,4.0,30,25,10,15.0,25.0,30.0,Low,100.0
Supadeurali Temple Trail,28.05,83.1,Arghakhanchi,2.0,4.0,0.0,5.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Baglung Kalika,28.27,83.59,Baglung,2.0,4.0,0.0,5.0,5.0,10,8,2,45.0,45.0,45.0,Medium,100.0
Baglung Kalika Temple,28.27,83.59,Baglung,2.0,4.0,0.0,4.0,4.0,40,30,10,15.0,25.0,30.0,Low,100.0
Baglung Panchakot,28.25,83.6,Baglung,2.0,4.0,0.0,5.0,4.0,60,50,20,10.0,25.0,30.0,Low,100.0
Balewa Village View,28.22,83.62,Baglung,2.0,4.0,0.0,5.0,4.0,50,40,15,15.0,30.0,35.0,Low,100.0
Beni Baglung Rural Road,28.28,83.58,Baglung,2.0,4.0,0.0,12.0,4.0,70,60,20,5.0,25.0,30.0,Low,100.0
Bhujikot Rural Viewpoint,28.25,83.45,Baglung,4.0,7.0,0.0,6.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Bungkot Village,28.25,83.65,Baglung,4.0,7.0,0.0,6.0,5.0,25,20,5,40.0,50.0,55.0,Medium,100.0
Burtibang Rural Route,28.3,83.0,Baglung,5.0,8.0,2.0,7.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Dhaulagiri View Baglung,28.4,83.45,Baglung,7.0,15.0,12.0,2.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Dhorpatan East Route,28.55,83.0,Baglung,7.0,15.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Dhorpatan Hunting Area,28.5,83.0,Baglung,15.0,18.0,10.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Dhorpatan Hunting Reserve,28.48,83.02,Baglung,5.0,10.0,5.0,3.0,6.0,0,1,0,90.0,80.0,86.0,High,100.0
Dhorpatan Hunting Reserve Trail,28.3,83.0,Baglung,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Dhorpatan Reserve,28.52,83.0,Baglung,12.0,15.0,8.0,4.0,8.0,5,5,2,75.0,85.0,82.0,High,100.0
Dhorpatan Reserve Camp,28.3,83.0,Baglung,8.0,16.0,10.0,3.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Dhorpatan Rural Camp,28.3,83.0,Baglung,9.0,14.0,5.0,5.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Dhorpatan Rural Hunting Area,28.5,83.0,Baglung,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Dhorpatan Rural Meadow,28.5,83.0,Baglung,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Dhorpatan Trail Camp,28.52,83.0,Baglung,10.0,15.0,8.0,3.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Dhorpatan Valley,28.52,83.0,Baglung,12.0,15.0,8.0,4.0,8.0,5,5,2,75.0,85.0,82.0,High,100.0
Dhorpatan Valley Camp,28.5,83.0,Baglung,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Dhorpatan Village Route,28.5,83.0,Baglung,12.0,16.0,8.0,4.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Galkot Palace,28.22,83.47,Baglung,1.0,3.0,0.0,4.0,5.0,8,6,2,35.0,35.0,35.0,Medium,100.0
Galkot Palace Area,28.22,83.42,Baglung,3.0,5.0,0.0,5.0,5.0,30,25,10,20.0,35.0,40.0,Medium,100.0
Galkot Rural Heritage Area,28.22,83.42,Baglung,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Galkot Rural Trail,28.22,83.42,Baglung,3.0,5.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Galkot Valley,28.22,83.42,Baglung,3.0,6.0,1.0,5.0,6.0,5,4,1,60.0,60.0,60.0,Medium,100.0
Galkot Village Route,28.22,83.42,Baglung,4.0,7.0,0.0,8.0,5.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Nishi Khola Village,28.4,82.9,Baglung,6.0,10.0,3.0,4.0,6.0,5,5,2,65.0,70.0,70.0,High,100.0
Nishi Rural Valley,28.35,82.9,Baglung,8.0,13.0,4.0,5.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Nisi Khola Rural Area,28.35,83.0,Baglung,8.0,12.0,4.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Nisi Village Trail,28.35,83.0,Baglung,8.0,13.0,4.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Nisikhola Area,28.4,83.1,Baglung,4.0,10.0,5.0,3.0,7.0,1,1,0,90.0,85.0,87.0,High,100.0
Nisikhola Rural Camp,28.35,83.0,Baglung,9.0,14.0,5.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Nisikhola Trail,28.45,83.3,Baglung,10.0,15.0,6.0,4.0,8.0,0,0,0,100.0,90.0,92.0,High,100.0
Panchakot Baglung,28.26,83.6,Baglung,3.0,8.0,2.0,4.0,6.0,2,2,0,80.0,75.0,78.0,High,100.0
Panchakot Dham,28.23,83.58,Baglung,1.0,4.0,0.0,2.0,3.0,5,5,1,45.0,35.0,39.0,Medium,100.0
Panchakot Village Route,28.27,83.6,Baglung,3.0,5.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Panchase Baglung Route,28.3,83.0,Baglung,5.0,8.0,0.0,5.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Panchase Baglung Trail,28.25,83.7,Baglung,5.0,10.0,3.0,3.0,7.0,2,1,0,80.0,80.0,80.0,High,100.0
Panchkot Hill,28.27,83.6,Baglung,2.0,5.0,0.0,3.0,5.0,5,4,1,50.0,45.0,47.0,Medium,100.0
Righa Rural Trail,28.3,83.45,Baglung,5.0,10.0,2.0,4.0,7.0,15,10,3,60.0,65.0,68.0,High,100.0
Taman Khola,28.65,83.1,Baglung,8.0,12.0,5.0,3.0,7.0,0,0,0,90.0,75.0,78.0,High,100.0
Taman Khola Area,28.45,83.0,Baglung,6.0,14.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Taman Khola Valley,28.65,83.1,Baglung,8.0,12.0,5.0,3.0,7.0,0,0,0,90.0,75.0,78.0,High,100.0
Taman Rural Village,28.42,83.05,Baglung,6.0,10.0,3.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Tamankhola Route,28.42,83.05,Baglung,9.0,14.0,5.0,3.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Tamankhola Village,28.42,83.05,Baglung,9.0,14.0,5.0,3.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Tara Rural Village Trail,28.4,82.95,Baglung,6.0,10.0,3.0,4.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Baitadi Pancheshwar Trail,29.5,80.3,Baitadi,4.0,7.0,0.0,12.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Baitadi Patan,29.52,80.43,Baitadi,3.0,5.0,0.0,5.0,5.0,20,20,5,35.0,45.0,50.0,Medium,100.0
Baitadi Patan Hill,29.52,80.43,Baitadi,2.0,4.0,0.0,5.0,5.0,20,20,5,30.0,40.0,45.0,Medium,100.0
Baitadi Patan Rural Area,29.52,80.43,Baitadi,3.0,5.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Baitadi Patan Rural Trail,29.5,80.5,Baitadi,4.0,7.0,0.0,8.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Baitadi Patan View,29.52,80.43,Baitadi,4.0,8.0,0.0,5.0,7.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Baitadi Rural Heritage Trail,29.52,80.43,Baitadi,3.0,5.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Baitadi Shivanath Trail,29.6,80.5,Baitadi,7.0,11.0,3.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Baitadi Tripura Sundari,29.52,80.43,Baitadi,3.0,5.0,0.0,4.0,5.0,20,20,5,35.0,45.0,50.0,Medium,100.0
Dasharathchand Trail,29.52,80.43,Baitadi,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Dasharathchand Village,29.52,80.43,Baitadi,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Dilasaini Rural Route,29.55,80.6,Baitadi,3.0,6.0,0.0,6.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Dilasaini Village Area,29.55,80.6,Baitadi,4.0,7.0,0.0,8.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Dillikot Temple,29.5,80.5,Baitadi,3.0,6.0,0.0,5.0,7.0,5,4,1,60.0,65.0,62.0,Medium,100.0
Melaulee Village Route,29.6,80.35,Baitadi,3.0,6.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Pancheshwar Rural Trail,29.5,80.3,Baitadi,4.0,7.0,0.0,12.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Pancheshwor Rural Camp,29.5,80.45,Baitadi,8.0,12.0,4.0,6.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Patan Baitadi Village,29.51,80.5,Baitadi,2.0,4.0,0.0,5.0,5.0,20,20,5,30.0,40.0,45.0,Medium,100.0
Patna Rural Route,29.45,80.55,Baitadi,3.0,6.0,0.0,6.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Tripura Sundari Temple,29.52,80.45,Baitadi,2.0,5.0,0.0,4.0,5.0,30,25,10,30.0,40.0,45.0,Medium,100.0
Tripurasundari Route,29.6,80.5,Baitadi,6.0,10.0,2.0,8.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Tripurasundari Rural Route,29.6,80.5,Baitadi,6.0,10.0,2.0,8.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Tripurasundari Temple,29.5,80.5,Baitadi,3.0,6.0,0.0,5.0,7.0,5,4,1,60.0,65.0,62.0,Medium,100.0
Tripurasundari Village,29.45,80.55,Baitadi,5.0,9.0,2.0,7.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Bajhang Chainpur,29.55,81.2,Bajhang,3.0,8.0,2.0,4.0,7.0,2,2,0,80.0,75.0,78.0,High,100.0
Bajhang Chainpur Route,29.55,81.2,Bajhang,5.0,10.0,2.0,8.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Bajhang Religious Trail,29.55,81.2,Bajhang,3.0,8.0,2.0,4.0,7.0,5,4,1,70.0,70.0,70.0,High,100.0
Bajhang Saipal Trail,29.85,81.2,Bajhang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Bajhang Saipal Valley,29.9,81.0,Bajhang,19.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Bajhang Surma Route,30.0,81.25,Bajhang,15.0,19.0,12.0,0.0,10.0,0,0,0,100.0,95.0,96.0,High,100.0
Bichpani Lake,29.7,81.3,Bajhang,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Bungal Mountain Route,29.6,81.25,Bajhang,11.0,16.0,7.0,4.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Bungal Rural Valley,29.6,81.25,Bajhang,11.0,16.0,7.0,4.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Bungl Valley,29.7,81.4,Bajhang,6.0,14.0,8.0,3.0,8.0,0,1,0,95.0,90.0,93.0,High,100.0
Chainpur Bajhang,29.55,81.2,Bajhang,5.0,9.0,3.0,5.0,7.0,10,10,3,65.0,75.0,78.0,High,100.0
Chainpur Bazaar,29.54,81.2,Bajhang,2.0,5.0,0.0,3.0,5.0,3,3,1,60.0,45.0,51.0,Medium,100.0
Chainpur Saipal Trail,29.55,81.2,Bajhang,6.0,10.0,3.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Chainpur Tourism Area,29.55,81.2,Bajhang,2.0,5.0,0.0,5.0,6.0,10,8,2,55.0,60.0,58.0,Medium,100.0
Chainpur Village Route,29.55,81.2,Bajhang,5.0,9.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Jaya Prithvi Museum,29.55,81.35,Bajhang,1.0,3.0,0.0,4.0,5.0,8,6,2,40.0,35.0,37.0,Medium,100.0
Kanda Village Route,29.7,81.25,Bajhang,8.0,13.0,4.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Khaptad Baba Ashram,29.36,81.11,Bajhang,3.0,8.0,2.0,3.0,6.0,0,0,0,100.0,70.0,82.0,High,100.0
Khaptad Entry Route,29.3,81.15,Bajhang,6.0,10.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khaptad Lake,29.35,81.1,Bajhang,4.0,10.0,4.0,3.0,7.0,0,0,0,100.0,80.0,88.0,High,100.0
Khaptad National Park,29.35,81.1,Bajhang,3.0,8.0,2.0,5.0,7.0,0,0,0,100.0,70.0,82.0,High,100.0
Khaptad National Park Rural Camp,29.3,81.0,Bajhang,10.0,15.0,5.0,3.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Khaptad Rural Trail,29.3,80.95,Bajhang,8.0,12.0,4.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Khaptad View Tower,29.25,81.1,Bajhang,4.0,10.0,3.0,4.0,7.0,1,1,0,90.0,80.0,84.0,High,100.0
Saipal Base Camp,29.95,81.3,Bajhang,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Base Camp Route,29.95,81.0,Bajhang,19.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Saipal Himal,30.0,81.2,Bajhang,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Himal Base,30.1,81.4,Bajhang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Saipal Himal Base Camp,29.85,81.6,Bajhang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Himal Base Route,29.95,81.0,Bajhang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Saipal Himal Route,30.0,81.2,Bajhang,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Himal Trail,30.0,81.2,Bajhang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Himal Trek,30.0,81.2,Bajhang,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Saipal Mountain Trail,29.95,81.0,Bajhang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Saipal Rural Camp,30.0,81.25,Bajhang,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Seti River Rafting,29.7,81.3,Bajhang,7.0,1.0,0.0,20.0,3.0,3,2,1,90.0,85.0,88.0,High,100.0
Seti River Trail,29.4,81.3,Bajhang,5.0,2.0,0.0,15.0,4.0,3,3,1,75.0,75.0,75.0,High,100.0
Surma Rural Valley,29.7,81.3,Bajhang,9.0,14.0,5.0,6.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Surma Sarovar,29.6,81.3,Bajhang,7.0,15.0,10.0,3.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Surma Sarovar Lake,29.8,81.2,Bajhang,6.0,14.0,8.0,2.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Surma Sarovar Trek,29.75,81.25,Bajhang,8.0,17.0,14.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Surma Village Camp,29.7,81.3,Bajhang,9.0,14.0,5.0,6.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Thalara Rural Area,29.65,81.1,Bajhang,4.0,8.0,0.0,7.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Ailani Forest Area,29.5,81.3,Bajura,4.0,8.0,2.0,5.0,7.0,0,0,0,80.0,75.0,78.0,High,100.0
Badaimalika Trail Camp,29.35,81.35,Bajura,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Badi Malika Trail,29.5,81.4,Bajura,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Badimalika Base Route,29.4,81.3,Bajura,15.0,18.0,12.0,1.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Badimalika Hiking Route,29.35,81.35,Bajura,8.0,17.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Badimalika Meadow,29.45,81.35,Bajura,18.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Badimalika Meadow Camp,29.45,81.35,Bajura,18.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Badimalika Rural Trail,29.3,81.5,Bajura,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Badimalika Temple,29.15,81.5,Bajura,4.0,9.0,3.0,4.0,6.0,0,0,0,100.0,75.0,86.0,High,100.0
Badimalika Temple Route,29.5,81.6,Bajura,14.0,18.0,10.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Badimalika Temple Trail,29.3,81.5,Bajura,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Badimalika Trail,29.15,81.5,Bajura,5.0,12.0,5.0,3.0,8.0,0,0,0,100.0,90.0,96.0,High,100.0
Badimalika Trek Route,29.5,81.4,Bajura,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Bajura Badimalika,29.42,81.42,Bajura,12.0,15.0,8.0,3.0,8.0,0,0,0,100.0,85.0,86.0,High,100.0
Bajura Badimalika Trail,29.4,81.2,Bajura,14.0,18.0,8.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Bajura Budhinanda,29.5,81.43,Bajura,10.0,14.0,7.0,2.0,7.0,0,0,0,100.0,80.0,82.0,High,100.0
Bajura Budhinanda Lake Trail,29.55,81.25,Bajura,11.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Bajura Martadi,29.45,81.6,Bajura,4.0,8.0,0.0,5.0,7.0,15,10,3,50.0,60.0,65.0,Medium,100.0
Bajura Martadi Bazaar,29.45,81.42,Bajura,2.0,5.0,0.0,5.0,6.0,10,8,2,55.0,55.0,55.0,Medium,100.0
Bajura Martadi Route,29.42,81.6,Bajura,4.0,10.0,3.0,4.0,7.0,1,1,0,90.0,85.0,87.0,High,100.0
Bajura Remote Mountain Trail,29.5,81.5,Bajura,13.0,17.0,10.0,3.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Bajura Swamikartik,29.5,81.5,Bajura,8.0,12.0,3.0,4.0,7.0,0,0,0,90.0,75.0,80.0,High,100.0
Bichhya Rural Trail,29.5,81.15,Bajura,7.0,12.0,3.0,6.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Budhinanda Lake,29.5,81.43,Bajura,10.0,14.0,7.0,2.0,7.0,0,0,0,100.0,80.0,82.0,High,100.0
Budhinanda Lake Camp,29.5,81.45,Bajura,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Budhinanda Lake Route,29.55,81.45,Bajura,14.0,18.0,10.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Budhinanda Temple,29.5,81.5,Bajura,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Budhinanda Village Route,29.5,81.25,Bajura,9.0,14.0,5.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Jaljala Bajura Trail,29.35,81.5,Bajura,10.0,15.0,6.0,2.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Kailashmandau Village,29.3,81.35,Bajura,5.0,9.0,2.0,7.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khaptad Baba Ashram,29.28,81.1,Bajura,5.0,12.0,5.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
