hospital_name,address,phone,latitude,longitude,district,destination,province,data_quality_score
Chitwan Eye Hospital,Bharatpur,056527000,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Chitwan Hospital,Bharatpur,,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Chitwan Hospital,Bharatpur Chitwan,+977056532000,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Chitwan Medical College Teaching Hospital,Bharatpur Chitwan,056493403,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Chitwan Medical College Teaching Hospital,Bharatpur,+977056493403,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Cmc Hospital Emergency,Bharatpur Chitwan,+977056493403,27.67,84.44,Chitwan,Bharatpur,Bagmati,100.0
College Of Medical Sciences Emergency,Bharatpur,056534111,27.67,84.44,Chitwan,Bharatpur,Bagmati,100.0
College Of Medical Sciences Teaching Hospital,Bharatpur Chitwan,056534111,27.67,84.44,Chitwan,Bharatpur,Bagmati,100.0
College Of Medical Sciences Teaching Hospital,Chitwan,+977056534111,27.67,84.44,Chitwan,Bharatpur,Bagmati,100.0
College Of Medical Sciences Teaching Hospital,Bharatpur,+977056534111,27.67,84.44,Chitwan,Bharatpur,Bagmati,100.0
Narayani Community Hospital,Bharatpur,,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Narayani Community Hospital,Bharatpur Chitwan,+977056533333,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Sanjivani Hospital,Bharatpur Chitwan,+977056595555,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Sanjivani Hospital,Bharatpur,+977056595555,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Sushil Koirala Memorial Cancer Hospital,Bharatpur Chitwan,,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Dhading District Hospital,Dhadingbesi,+977010520123,27.87,84.92,Dhading,Dhadingbesi,Bagmati,100.0
Dhading Hospital,Dhadingbesi,,27.87,84.92,Dhading,Dhadingbesi,Bagmati,100.0
Gajuri Hospital,Dhading,,27.78,84.87,Dhading,Gajuri,Bagmati,100.0
Charikot Hospital,Dolakha,+977049420123,27.67,86.03,Dolakha,Charikot,Bagmati,100.0
Dolakha District Hospital,Charikot,+977049420123,27.67,86.03,Dolakha,Charikot,Bagmati,100.0
Dolakha Hospital,Charikot,,27.67,86.03,Dolakha,Charikot,Bagmati,100.0
Jiri Hospital,Jiri,,27.63,86.23,Dolakha,Jiri,Bagmati,100.0
Jiri Hospital,Dolakha,+977049430123,27.63,86.23,Dolakha,Jiri,Bagmati,100.0
Annapurna Neurological Institute,Maitighar Kathmandu,+977014256656,27.7,85.32,Kathmandu,Maitighar,Bagmati,100.0
Apex Hospital,Jorpati Kathmandu,014912500,27.73,85.37,Kathmandu,Jorpati,Bagmati,100.0
Armed Police Force Hospital Emergency,Balambu Kathmandu,014311550,27.69,85.25,Kathmandu,Balambu,Bagmati,100.0
Baidya And Research Hospital,Kathmandu,014440000,27.72,85.33,Kathmandu,Kathmandu,Bagmati,100.0
Bir Hospital,Kanti Path Kathmandu,014221119,27.705,85.315,Kathmandu,Ratnapark,Bagmati,100.0
Bir Hospital,Kathmandu,+977014221119,27.705,85.315,Kathmandu,Kathmandu,Bagmati,100.0
Birendra Military Hospital,Chhauni Kathmandu,+977014271941,27.7,85.29,Kathmandu,Chhauni,Bagmati,100.0
Blue Cross Hospital,Tripureshwor Kathmandu,014262027,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
Buddha Hospital,Baneshwor Kathmandu,,27.69,85.34,Kathmandu,Baneshwor,Bagmati,100.0
Capital Hospital,Kathmandu,+977014168222,27.7,85.33,Kathmandu,Kathmandu,Bagmati,100.0
Chirayu National Hospital,Maharajgunj Kathmandu,014520930,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Civil Service Hospital,Minbhawan Kathmandu,014793000,27.69,85.34,Kathmandu,Minbhawan,Bagmati,100.0
Civil Service Hospital,Minbhawan,+977014793000,27.69,85.34,Kathmandu,Minbhawan,Bagmati,100.0
Ciwec Hospital,Lainchaur Kathmandu,014424111,27.72,85.32,Kathmandu,Lainchaur,Bagmati,100.0
Ciwec Hospital Travel Medicine Center,Lainchaur Kathmandu,+977014435232,27.72,85.32,Kathmandu,Lainchaur,Bagmati,100.0
Era International Hospital,Kathmandu,+977014352447,27.72,85.33,Kathmandu,Kathmandu,Bagmati,100.0
Everest Hospital,Kathmandu,+977014793024,27.69,85.34,Kathmandu,Kathmandu,Bagmati,100.0
Grande City Hospital,Putalisadak Kathmandu,015970999,27.705,85.32,Kathmandu,Putalisadak,Bagmati,100.0
Grande City Hospital,Kanti Path Kathmandu,+977014163500,27.705,85.315,Kathmandu,Kanti Path,Bagmati,100.0
Grande City Hospital,Kamaladi Kathmandu,+977014163500,27.705,85.315,Kathmandu,Kamaladi,Bagmati,100.0
Grande International Hospital,Dhapasi Kathmandu,015159266,27.75,85.33,Kathmandu,Dhapasi,Bagmati,100.0
Green City Hospital,Basundhara Kathmandu,014387788,27.735,85.34,Kathmandu,Basundhara,Bagmati,100.0
Hams Hospital,Dhumbarahi Kathmandu,014377404,27.735,85.34,Kathmandu,Dhumbarahi,Bagmati,100.0
Helping Hands Community Hospital,Chabahil Kathmandu,014480071,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Janamaitri Hospital,Balkhu Kathmandu,014288888,27.685,85.3,Kathmandu,Balkhu,Bagmati,100.0
Kanti Children Hospital,Maharajgunj Kathmandu,+977014411558,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Kanti Children'S Hospital,Maharajgunj Kathmandu,014411558,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Kanti Children’S Hospital,Maharajgunj Kathmandu,014411558,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Kantipur Hospital,Subidhanagar Kathmandu,014469064,27.69,85.35,Kathmandu,Tinkune,Bagmati,100.0
Kantipur Hospital,Tripureshwor Kathmandu,+977014111627,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
Kathmandu Eye Center,Baneshwor Kathmandu,,27.69,85.34,Kathmandu,Baneshwor,Bagmati,100.0
Kathmandu Hospital,Tripureshwor Kathmandu,014221119,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
Kathmandu Medical College Hospital,Sinamangal Kathmandu,+977014469064,27.695,85.35,Kathmandu,Sinamangal,Bagmati,100.0
Kathmandu Medical College Teaching Hospital,Sinamangal Kathmandu,014469064,27.695,85.35,Kathmandu,Sinamangal,Bagmati,100.0
Kathmandu Model Hospital,Pradarshani Marg Kathmandu,014240800,27.705,85.315,Kathmandu,Pradarshani Marg,Bagmati,100.0
Kathmandu Model Hospital,Pradarshani Marg,014240800,27.705,85.315,Kathmandu,Pradarshani Marg,Bagmati,100.0
Kathmandu Neuro & General Hospital,Baghdurbar Kathmandu,+977015327735,27.705,85.315,Kathmandu,Baghdurbar,Bagmati,100.0
Kathmandu Valley Hospital,Baghdurbar Kathmandu,+977014255330,27.705,85.315,Kathmandu,Baghdurbar,Bagmati,100.0
Kirtipur Eye Hospital,Kirtipur Kathmandu,,27.67,85.28,Kathmandu,Kirtipur,Bagmati,100.0
Kirtipur Hospital,Kirtipur Kathmandu,014339130,27.67,85.28,Kathmandu,Kirtipur,Bagmati,100.0
Kmc Hospital,Sinamangal Kathmandu,014469064,27.695,85.35,Kathmandu,Sinamangal,Bagmati,100.0
Manmohan Memorial Medical College And Teaching Hospital,Swayambhu Kathmandu,014034015,27.715,85.28,Kathmandu,Swayambhu,Bagmati,100.0
Medicare National Hospital,Chabahil Kathmandu,014471322,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Medicare National Hospital,Ring Road Kathmandu,+977014467067,27.72,85.35,Kathmandu,Kathmandu,Bagmati,100.0
National Academy Of Medical Sciences,Bir Hospital Kathmandu,014221119,27.705,85.315,Kathmandu,Kathmandu,Bagmati,100.0
National Eye Center,Tripureshwor Kathmandu,014250691,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
National Kidney Center,Baneshwor Kathmandu,014780000,27.69,85.34,Kathmandu,Baneshwor,Bagmati,100.0
National Trauma Center,Mahankal Kathmandu,014230710,27.705,85.315,Kathmandu,Kathmandu,Bagmati,100.0
National Trauma Center,Mahaboudha Kathmandu,+977014230710,27.705,85.315,Kathmandu,Kathmandu,Bagmati,100.0
National Trauma Center,Kathmandu,+977014230710,27.705,85.315,Kathmandu,Kathmandu,Bagmati,100.0
Nepal Apf Hospital,Balambu Kathmandu,014311550,27.69,85.25,Kathmandu,Balambu,Bagmati,100.0
Nepal Army Hospital,Chhauni Kathmandu,014271941,27.7,85.29,Kathmandu,Chhauni,Bagmati,100.0
Nepal Army Hospital,Chhauni,+977014271941,27.7,85.29,Kathmandu,Chhauni,Bagmati,100.0
Nepal Dental Hospital,Lazimpat Kathmandu,,27.72,85.33,Kathmandu,Lazimpat,Bagmati,100.0
Nepal Eye Hospital,Tripureshwor Kathmandu,014250691,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
Nepal Eye Hospital,Tripureshwor,014250691,27.7,85.31,Kathmandu,Tripureshwor,Bagmati,100.0
Nepal International Clinic,Lazimpat Kathmandu,014424642,27.72,85.33,Kathmandu,Lazimpat,Bagmati,100.0
Nepal Orthopaedic Hospital,Jorpati Kathmandu,014911700,27.73,85.37,Kathmandu,Jorpati,Bagmati,100.0
Nepal Orthopedic Hospital,Jorpati Kathmandu,014911700,27.73,85.37,Kathmandu,Jorpati,Bagmati,100.0
Nepal Police Hospital,Maharajgunj Kathmandu,014412430,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Nepal Police Hospital,Maharajgunj,+977014412430,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Norvic Hospital,Thapathali Kathmandu,014258554,27.695,85.315,Kathmandu,Thapathali,Bagmati,100.0
Norvic International Hospital,Thapathali Kathmandu,014258554,27.695,85.315,Kathmandu,Thapathali,Bagmati,100.0
Om Hospital,Chabahil Kathmandu,014476225,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Om Hospital And Research Center,Chabahil Kathmandu,+977014476225,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Om Hospital And Research Centre,Chabahil Kathmandu,014476225,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Om Hospital Research Center,Chabahil Kathmandu,+977014476225,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Om Samaj Dental Hospital,Chabahil Kathmandu,014482424,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Paropakar Maternity And Women'S Hospital,Thapathali Kathmandu,014253276,27.695,85.315,Kathmandu,Thapathali,Bagmati,100.0
Paropakar Maternity Hospital,Thapathali Kathmandu,014253276,27.695,85.315,Kathmandu,Thapathali,Bagmati,100.0
People'S Dental College And Hospital,Nayabazar Kathmandu,014380838,27.73,85.305,Kathmandu,Nayabazar,Bagmati,100.0
People'S Hospital,New Baneshwor Kathmandu,014780444,27.69,85.34,Kathmandu,Baneshwor,Bagmati,100.0
People’S Dental College,Nayabazar Kathmandu,014380838,27.73,85.305,Kathmandu,Nayabazar,Bagmati,100.0
Shahid Gangalal National Heart Centre,Bansbari Kathmandu,014371322,27.75,85.34,Kathmandu,Bansbari,Bagmati,100.0
Shahid Gangalal National Heart Centre,Bansbari,+977014371322,27.75,85.34,Kathmandu,Bansbari,Bagmati,100.0
Shankarapur Hospital,Jorpati Kathmandu,014911000,27.73,85.37,Kathmandu,Jorpati,Bagmati,100.0
Shree Birendra Hospital,Chhauni Kathmandu,014271941,27.7,85.29,Kathmandu,Chhauni,Bagmati,100.0
Sukraraj Tropical And Infectious Disease Hospital,Teku Kathmandu,014253396,27.695,85.305,Kathmandu,Teku,Bagmati,100.0
Sukraraj Tropical Hospital,Teku Kathmandu,014253396,27.695,85.305,Kathmandu,Teku,Bagmati,100.0
Sumeru Hospital,Dhume Barahi Kathmandu,,27.735,85.34,Kathmandu,Dhumbarahi,Bagmati,100.0
Sumeru Hospital,Dhumbarahi Kathmandu,+977014377700,27.735,85.34,Kathmandu,Dhumbarahi,Bagmati,100.0
Sushma Koirala Memorial Hospital,Sankhu Kathmandu,014450777,27.8,85.45,Kathmandu,Sankhu,Bagmati,100.0
Teaching Hospital Emergency,Maharajgunj Kathmandu,014412303,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Tilganga Eye Center,Gausala Kathmandu,+977014493684,27.71,85.35,Kathmandu,Gausala,Bagmati,100.0
Tilganga Eye Centre,Gausala Kathmandu,014493684,27.71,85.35,Kathmandu,Gausala,Bagmati,100.0
Tilganga Institute Of Ophthalmology,Gausala Kathmandu,014493684,27.71,85.35,Kathmandu,Gausala,Bagmati,100.0
Tribhuvan University Teaching Hospital,Maharajgunj Kathmandu,014512505,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Tribhuvan University Teaching Hospital,Maharajgunj,+977014412303,27.735,85.33,Kathmandu,Maharajgunj,Bagmati,100.0
Vayodha Hospital,Balkhu Kathmandu,014286427,27.685,85.3,Kathmandu,Balkhu,Bagmati,100.0
Vayodha Hospitals,Balkhu Kathmandu,014286427,27.685,85.3,Kathmandu,Balkhu,Bagmati,100.0
Venus Hospital,Mid Baneshwor Kathmandu,014467788,27.695,85.34,Kathmandu,Baneshwor,Bagmati,100.0
Venus Hospital,Devkota Sadak Kathmandu,+977014475120,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Venus Hospital,Chabahil Kathmandu,+977014475120,27.72,85.345,Kathmandu,Chabahil,Bagmati,100.0
Dhulikhel Hospital,Dhulikhel Kavre,011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Dhulikhel Hospital,Dhulikhel Kavrepalanchok,+977011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Dhulikhel Hospital,Kavrepalanchok,+977011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Dhulikhel Hospital,Dhulikhel,+977011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Dhulikhel Hospital Emergency,Dhulikhel,011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Kavre District Hospital,Dhulikhel Kavre,011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Kavre District Hospital,Dhulikhel,+977011490497,27.62,85.54,Kavrepalanchok,Dhulikhel,Bagmati,100.0
Kavre Hospital,Banepa,,27.63,85.52,Kavrepalanchok,Banepa,Bagmati,100.0
Sheer Memorial Hospital,Banepa Kavre,011665015,27.63,85.52,Kavrepalanchok,Banepa,Bagmati,100.0
Sheer Memorial Hospital,Banepa,011665015,27.63,85.52,Kavrepalanchok,Banepa,Bagmati,100.0
Alka Hospital,Jawalakhel Lalitpur,015970999,27.675,85.315,Lalitpur,Jawalakhel,Bagmati,100.0
Asian College For Advanced Studies Hospital,Gwarko Lalitpur,015201300,27.665,85.33,Lalitpur,Gwarko,Bagmati,100.0
Aster Hospital,Sanepa Lalitpur,015522222,27.685,85.305,Lalitpur,Sanepa,Bagmati,100.0
B&B Hospital,Gwarko Lalitpur,015533206,27.665,85.33,Lalitpur,Gwarko,Bagmati,100.0
Kist Hospital,Imadol Lalitpur,015201496,27.65,85.35,Lalitpur,Imadol,Bagmati,100.0
Kist Medical College And Teaching Hospital,Imadol Lalitpur,015201496,27.65,85.35,Lalitpur,Imadol,Bagmati,100.0
Kist Medical College Hospital,Imadol Lalitpur,+977015201496,27.65,85.35,Lalitpur,Imadol,Bagmati,100.0
Kist Medical College Teaching Hospital,Imadol Lalitpur,+977015201496,27.65,85.35,Lalitpur,Imadol,Bagmati,100.0
Mental Hospital,Lagankhel Lalitpur,015521612,27.67,85.32,Lalitpur,Lagankhel,Bagmati,100.0
Nepal Cancer Hospital,Harisiddhi Lalitpur,015971532,27.63,85.35,Lalitpur,Harisiddhi,Bagmati,100.0
Nepal Mediciti Hospital,Bhaisepati Lalitpur,014217766,27.65,85.3,Lalitpur,Bhaisepati,Bagmati,100.0
Nidan Hospital,Pulchowk Lalitpur,015443200,27.68,85.315,Lalitpur,Pulchowk,Bagmati,100.0
Patan Academy Of Health Sciences,Lagankhel Lalitpur,015522295,27.67,85.32,Lalitpur,Lagankhel,Bagmati,100.0
Patan Hospital,Lagankhel Lalitpur,015522278,27.67,85.32,Lalitpur,Lagankhel,Bagmati,100.0
Star Hospital,Sanepa Lalitpur,015420777,27.685,85.305,Lalitpur,Sanepa,Bagmati,100.0
Sumeru Hospital,Dhapa Khel Lalitpur,+977015152515,27.65,85.3,Lalitpur,Dhapakhel,Bagmati,100.0
Swacon International Hospital,Bhaisepati Lalitpur,015591919,27.65,85.3,Lalitpur,Bhaisepati,Bagmati,100.0
Vatsalya Hospital,Nakhu Lalitpur,015599555,27.665,85.31,Lalitpur,Nakhu,Bagmati,100.0
Vatsalya Natural Ivf Hospital,Nakhu Lalitpur,015599555,27.665,85.31,Lalitpur,Nakhu,Bagmati,100.0
Vishwa Hospital,Satdobato Lalitpur,015531234,27.657,85.324,Lalitpur,Satdobato,Bagmati,100.0
Chure Hill Hospital,Hetauda,+977057520777,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Hetauda Community Eye Hospital,Hetauda Makwanpur,+977057524777,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Hetauda Community Hospital,Hetauda,,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Hetauda Hospital,Hetauda Makwanpur,057520155,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Hetauda Hospital,Makwanpur,+977057520155,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Hetauda Hospital,Hetauda,+977057520155,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Makwanpur Cooperative Hospital,Hetauda,,27.43,85.03,Makwanpur,Hetauda,Bagmati,100.0
Nuwakot District Hospital,Trishuli Nuwakot,010560120,27.9,85.16,Nuwakot,Trishuli,Bagmati,100.0
Nuwakot District Hospital,Bidur,+977010560123,27.92,85.16,Nuwakot,Bidur,Bagmati,100.0
Nuwakot Hospital,Bidur,,27.92,85.16,Nuwakot,Bidur,Bagmati,100.0
Trishuli Hospital,Nuwakot,,27.9,85.16,Nuwakot,Trishuli,Bagmati,100.0
Manthali Hospital,Ramechhap,+977048540123,27.39,86.06,Ramechhap,Manthali,Bagmati,100.0
Ramechhap District Hospital,Manthali,+977048540123,27.39,86.06,Ramechhap,Manthali,Bagmati,100.0
Ramechhap Hospital,Manthali,,27.39,86.06,Ramechhap,Manthali,Bagmati,100.0
Rasuwa District Hospital,Dhunche,+977010540123,28.11,85.3,Rasuwa,Dhunche,Bagmati,100.0
Rasuwa Hospital,Dhunche,,28.11,85.3,Rasuwa,Dhunche,Bagmati,100.0
Janasewa Hospital,Sindhuli,+977047520456,27.25,85.97,Sindhuli,Sindhulimadhi,Bagmati,100.0
Sindhuli District Hospital,Sindhulimadhi,+977047520123,27.25,85.97,Sindhuli,Sindhulimadhi,Bagmati,100.0
Sindhuli Hospital,Sindhulimadhi,,27.25,85.97,Sindhuli,Sindhulimadhi,Bagmati,100.0
Baglung Community Hospital,Baglung,+977068520456,28.27,83.59,Baglung,Baglung,Gandaki,100.0
Baglung District Hospital,Baglung,068520102,28.27,83.59,Baglung,Baglung,Gandaki,100.0
Baglung Hospital,Baglung,,28.27,83.59,Baglung,Baglung,Gandaki,100.0
Gorkha District Hospital,Gorkha Bazaar,064420123,28.0,84.63,Gorkha,Gorkha,Gandaki,100.0
Gorkha District Hospital,Gorkha,+977064420123,28.0,84.633,Gorkha,Gorkha,Gandaki,100.0
Gorkha Hospital,Gorkha,,28.0,84.633,Gorkha,Gorkha,Gandaki,100.0
Gorkha Hospital,Gorkha Bazaar,+977064420123,28.0,84.633,Gorkha,Gorkha,Gandaki,100.0
Charak Memorial Hospital,Pokhara Kaski,061537055,28.22,83.98,Kaski,Pokhara,Gandaki,100.0
Charak Memorial Hospital,Pokhara,061537055,28.22,83.98,Kaski,Pokhara,Gandaki,100.0
Fishtail Hospital,Pokhara Kaski,061461816,28.21,83.97,Kaski,Pokhara,Gandaki,100.0
Fishtail Hospital,Pokhara,+977061461816,28.21,83.97,Kaski,Pokhara,Gandaki,100.0
Fishtail Hospital Emergency,Pokhara,061461816,28.21,83.97,Kaski,Pokhara,Gandaki,100.0
Gandaki Medical College Hospital,Lamachaur Pokhara,061430822,28.25,83.99,Kaski,Lamachaur,Gandaki,100.0
Gandaki Medical College Teaching Hospital,Pokhara,061430822,28.21,84.0,Kaski,Pokhara,Gandaki,100.0
Kaski Provincial Hospital,Pokhara,,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Manipal Teaching Hospital,Phulbari Pokhara,061526416,28.25,83.99,Kaski,Pokhara,Gandaki,100.0
Manipal Teaching Hospital,Pokhara Kaski,+977061526416,28.25,83.99,Kaski,Pokhara,Gandaki,100.0
Manipal Teaching Hospital,Pokhara,+977061526416,28.25,83.99,Kaski,Pokhara,Gandaki,100.0
Manipal Teaching Hospital Emergency,Phulbari Pokhara,061526416,28.25,83.99,Kaski,Phulbari,Gandaki,100.0
Metrocity Hospital,Pokhara Kaski,061538595,28.22,83.99,Kaski,Pokhara,Gandaki,100.0
Metrocity Hospital,Pokhara,061538595,28.22,83.99,Kaski,Pokhara,Gandaki,100.0
Pokhara Academy Of Health Sciences,Ramghat Pokhara,061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Pokhara Academy Of Health Sciences,Pokhara,+977061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Pokhara Academy Of Health Sciences,Pokhara Kaski,+977061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Pokhara Eye Hospital,Pokhara,,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Western Regional Hospital,Pokhara Kaski,061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Western Regional Hospital,Pokhara,+977061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Western Regional Hospital Emergency,Pokhara Kaski,061520067,28.21,83.98,Kaski,Pokhara,Gandaki,100.0
Lamjung Community Hospital,Besisahar,+977066520456,28.23,84.01,Lamjung,Besisahar,Gandaki,100.0
Lamjung District Hospital,Besisahar,066520123,28.23,84.01,Lamjung,Besisahar,Gandaki,100.0
Manang District Hospital,Chame,066440123,28.55,84.23,Manang,Chame,Gandaki,100.0
Manang Hospital,Chame,,28.55,84.23,Manang,Chame,Gandaki,100.0
Mustang District Hospital,Jomsom,069440123,28.78,83.72,Mustang,Jomsom,Gandaki,100.0
Mustang Hospital,Jomsom,,28.78,83.72,Mustang,Jomsom,Gandaki,100.0
Beni Community Hospital,Beni,+977069520456,28.35,83.57,Myagdi,Beni,Gandaki,100.0
Beni Hospital,Myagdi,069520102,28.35,83.57,Myagdi,Beni,Gandaki,100.0
Myagdi District Hospital,Beni,+977069520102,28.35,83.57,Myagdi,Beni,Gandaki,100.0
Myagdi Hospital,Beni,,28.35,83.57,Myagdi,Beni,Gandaki,100.0
Nawalpur District Hospital,Kawasoti,078540123,27.65,84.13,Nawalpur,Kawasoti,Gandaki,100.0
Parbat Community Hospital,Kushma,+977067420456,28.22,83.68,Parbat,Kushma,Gandaki,100.0
Parbat District Hospital,Kushma,067420102,28.22,83.68,Parbat,Kushma,Gandaki,100.0
Parbat Hospital,Kushma,,28.22,83.68,Parbat,Kushma,Gandaki,100.0
Syangja Community Hospital,Syangja,+977063420456,28.0,83.87,Syangja,Syangja,Gandaki,100.0
Syangja District Hospital,Syangja,063420102,28.0,83.87,Syangja,Syangja,Gandaki,100.0
Syangja Hospital,Syangja,,28.0,83.87,Syangja,Syangja,Gandaki,100.0
Bandipur Hospital,Bandipur Tanahun,,27.93,84.42,Tanahun,Bandipur,Gandaki,100.0
Damauli Hospital,Tanahun,065560102,27.97,84.24,Tanahun,Damauli,Gandaki,100.0
Tanahun Hospital,Damauli,,27.973,84.24,Tanahun,Damauli,Gandaki,100.0
Dailekh District Hospital,Dailekh,089420123,28.85,81.71,Dailekh,Dailekh,Karnali,100.0
Dolpa District Hospital,Dunai,087550123,29.0,82.82,Dolpa,Dunai,Karnali,100.0
Dolpa District Hospital,Dolpa,+977087590123,29.0,82.82,Dolpa,Dunai,Karnali,100.0
Dolpa Health Office Hospital,Dunai,+977087590123,29.0,82.82,Dolpa,Dunai,Karnali,100.0
