source,destination,district,province,transport_cost_usd,food_cost_day_usd,accommodation_night_usd,local_taxi_rick,data_quality_score
Bagmati,90-160,25-50,10-20,0.0,0.0,0.0,385-750,100.0
Sudurpashchim,90-160,25-50,10-20,0.0,0.0,0.0,385-750,100.0
Koshi,90-170,25-50,10-20,0.0,0.0,0.0,360-755,100.0
Bagmati,10-50,25-60,10-20,0.0,0.0,0.0,225-630,100.0
Lumbini,20-70,25-60,10-20,0.0,0.0,0.0,235-650,100.0
Bagmati,40-120,30-60,10-20,0.0,0.0,0.0,260-750,100.0
Gandaki,50-110,30-60,10-20,0.0,0.0,0.0,210-490,100.0
Gandaki,80-140,30-60,10-20,0.0,0.0,0.0,230-490,100.0
Gandaki,15-40,20-40,10-25,0.0,0.0,0.0,55-150,100.0
Lumbini,10-20,10-25,10-30,0.0,0.0,0.0,50-150,100.0
Madhesh,10-20,10-25,10-30,0.0,0.0,0.0,50-150,100.0
Madhesh,10-25,10-25,10-30,0.0,0.0,0.0,50-150,100.0
Gandaki,10-25,10-25,10-30,0.0,0.0,0.0,50-150,100.0
Karnali,5-15,10-25,10-30,0.0,0.0,0.0,60-180,100.0
Bagmati,10-20,15-30,10-30,0.0,0.0,0.0,60-200,100.0
Gandaki,10-20,15-30,10-30,0.0,0.0,0.0,50-160,100.0
Bagmati,15-30,15-30,10-30,0.0,0.0,0.0,70-180,100.0
Karnali,20-50,15-30,10-30,0.0,0.0,0.0,70-180,100.0
Madhesh,20-50,15-30,10-30,0.0,0.0,0.0,70-180,100.0
Lumbini,20-60,15-30,10-30,0.0,0.0,0.0,120-300,100.0
Madhesh,30-70,15-30,10-30,0.0,0.0,0.0,120-300,100.0
Koshi,20-60,20-40,10-30,0.0,0.0,0.0,60-190,100.0
Gandaki,20-60,20-40,10-30,0.0,0.0,0.0,100-280,100.0
Bagmati,20-60,20-40,10-30,0.0,0.0,0.0,150-350,100.0
Bagmati,25-60,20-40,10-30,0.0,0.0,0.0,70-200,100.0
Gandaki,25-60,20-40,10-30,0.0,0.0,0.0,70-200,100.0
Bagmati,30-60,20-40,10-30,0.0,0.0,0.0,150-350,100.0
Lumbini,30-60,20-40,10-30,0.0,0.0,0.0,150-300,100.0
Bagmati,30-70,20-40,10-30,0.0,0.0,0.0,120-300,100.0
Gandaki,30-70,20-40,10-30,0.0,0.0,0.0,120-300,100.0
Lumbini,30-70,20-40,10-30,0.0,0.0,0.0,150-350,100.0
Koshi,30-70,20-40,10-30,0.0,0.0,0.0,70-190,100.0
Karnali,30-70,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Dhankuta,30-70,20-40,10-30,0.0,0.0,0.0,70-200,100.0
Gandaki,30-80,20-40,10-30,0.0,0.0,0.0,120-300,100.0
Koshi,30-80,20-40,10-30,0.0,0.0,0.0,150-350,100.0
Karnali,30-80,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Sudurpashchim,30-80,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Sudurpashchim,40-100,20-40,10-30,0.0,0.0,0.0,70-200,100.0
Koshi,40-100,20-40,10-30,0.0,0.0,0.0,90-250,100.0
Lumbini,40-100,20-40,10-30,0.0,0.0,0.0,120-300,100.0
Karnali,40-100,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Koshi,40-80,20-40,10-30,0.0,0.0,0.0,70-190,100.0
Gandaki,40-90,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Karnali,40-90,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Lumbini,40-90,20-40,10-30,0.0,0.0,0.0,180-450,100.0
Panchthar,40-90,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Tehrathum,40-90,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Sudurpashchim,40-90,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Bagmati,40-90,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Koshi,50-100,20-40,10-30,0.0,0.0,0.0,70-190,100.0
Karnali,50-100,20-40,10-30,0.0,0.0,0.0,80-200,100.0
Bagmati,50-100,20-40,10-30,0.0,0.0,0.0,150-350,100.0
Bhojpur,50-100,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Lumbini,50-100,20-40,10-30,0.0,0.0,0.0,270-640,100.0
Lumbini,50-120,20-40,10-30,0.0,0.0,0.0,70-210,100.0
Karnali,50-120,20-40,10-30,0.0,0.0,0.0,80-200,100.0
Koshi,50-120,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Sudurpashchim,50-120,20-40,10-30,0.0,0.0,0.0,75-210,100.0
Sankhuwasabha,50-120,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Khotang,50-120,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Koshi,60-120,20-40,10-30,0.0,0.0,0.0,70-190,100.0
Bagmati,60-120,20-40,10-30,0.0,0.0,0.0,180-400,100.0
Sudurpashchim,60-120,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Khotang,60-120,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Karnali,60-120,20-40,10-30,0.0,0.0,0.0,200-450,100.0
Karnali,60-130,20-40,10-30,0.0,0.0,0.0,245-615,100.0
Lumbini,60-140,20-40,10-30,0.0,0.0,0.0,80-220,100.0
Sudurpashchim,70-150,20-40,10-30,0.0,0.0,0.0,90-220,100.0
Koshi,70-150,20-40,10-30,0.0,0.0,0.0,220-500,100.0
Lumbini,70-150,20-40,10-30,0.0,0.0,0.0,300-600,100.0
Sudurpashchim,60-150,20-45,10-30,0.0,0.0,0.0,80-220,100.0
Sudurpashchim,80-160,20-45,10-30,0.0,0.0,0.0,90-220,100.0
Koshi,60-150,25-45,10-30,0.0,0.0,0.0,80-220,100.0
Karnali,60-150,25-45,10-30,0.0,0.0,0.0,90-220,100.0
Gandaki,100-180,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Gandaki,100-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Karnali,100-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Koshi,100-200,25-50,10-30,0.0,0.0,0.0,300-650,100.0
Sudurpashchim,100-200,25-50,10-30,0.0,0.0,0.0,350-700,100.0
Doti,100-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Koshi,100-220,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Karnali,100-220,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Lumbini,100-250,25-50,10-30,0.0,0.0,0.0,400-800,100.0
Karnali,110-240,25-50,10-30,0.0,0.0,0.0,240-600,100.0
Gandaki,120-180,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Gandaki,120-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Gandaki,120-220,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Sudurpashchim,120-220,25-50,10-30,0.0,0.0,0.0,245-570,100.0
Gandaki,120-250,25-50,10-30,0.0,0.0,0.0,300-700,100.0
Sudurpashchim,130-260,25-50,10-30,0.0,0.0,0.0,260-620,100.0
Gandaki,150-250,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Koshi,180-250,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Gandaki,40-100,25-50,10-30,0.0,0.0,0.0,70-200,100.0
Bagmati,40-100,25-50,10-30,0.0,0.0,0.0,200-500,100.0
Gandaki,40-120,25-50,10-30,0.0,0.0,0.0,70-200,100.0
Gandaki,50-120,25-50,10-30,0.0,0.0,0.0,80-220,100.0
Gandaki,60-120,25-50,10-30,0.0,0.0,0.0,80-220,100.0
Bagmati,60-140,25-50,10-30,0.0,0.0,0.0,185-490,100.0
Gandaki,60-150,25-50,10-30,0.0,0.0,0.0,350-800,100.0
Bagmati,60-150,25-50,10-30,0.0,0.0,0.0,300-650,100.0
Sudurpaschim,60-150,25-50,10-30,0.0,0.0,0.0,205-470,100.0
Lumbini,70-140,25-50,10-30,0.0,0.0,0.0,165-410,100.0
Karnali,70-150,25-50,10-30,0.0,0.0,0.0,250-500,100.0
Bagmati,70-150,25-50,10-30,0.0,0.0,0.0,195-490,100.0
Gandaki,70-180,25-50,10-30,0.0,0.0,0.0,300-700,100.0
Gandaki,80-150,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Karnali,80-150,25-50,10-30,0.0,0.0,0.0,250-500,100.0
Bagmati,80-150,25-50,10-30,0.0,0.0,0.0,300-650,100.0
Karnali,80-160,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Koshi,80-160,25-50,10-30,0.0,0.0,0.0,300-650,100.0
Lumbini,80-160,25-50,10-30,0.0,0.0,0.0,175-440,100.0
Karnali,80-170,25-50,10-30,0.0,0.0,0.0,205-520,100.0
Karnali,80-180,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Koshi,80-180,25-50,10-30,0.0,0.0,0.0,300-700,100.0
Sudurpashchim,80-180,25-50,10-30,0.0,0.0,0.0,350-700,100.0
Gandaki,80-180,25-50,10-30,0.0,0.0,0.0,350-700,100.0
Taplejung,80-180,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Bagmati,80-180,25-50,10-30,0.0,0.0,0.0,350-700,100.0
Koshi,80-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Sudurpashchim,80-200,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Gandaki,80-200,25-50,10-30,0.0,0.0,0.0,250-600,100.0
Bagmati,80-200,25-50,10-30,0.0,0.0,0.0,350-800,100.0
Karnali,80-200,25-50,10-30,0.0,0.0,0.0,250-600,100.0
Lumbini,80-200,25-50,10-30,0.0,0.0,0.0,350-700,100.0
Koshi,80-250,25-50,10-30,0.0,0.0,0.0,90-250,100.0
Lumbini,90-160,25-50,10-30,0.0,0.0,0.0,195-470,100.0
Sudurpashchim,90-170,25-50,10-30,0.0,0.0,0.0,215-520,100.0
Lumbini,90-170,25-50,10-30,0.0,0.0,0.0,205-510,100.0
Karnali,90-180,25-50,10-30,0.0,0.0,0.0,200-470,100.0
Bagmati,100-200,30-60,10-30,0.0,0.0,0.0,400-800,100.0
Lumbini,100-200,30-60,10-30,0.0,0.0,0.0,270-630,100.0
Lumbini,100-220,30-60,10-30,0.0,0.0,0.0,450-900,100.0
Sudurpashchim,100-220,30-60,10-30,0.0,0.0,0.0,285-690,100.0
Sudurpashchim,100-250,30-60,10-30,0.0,0.0,0.0,250-600,100.0
Taplejung,100-250,30-60,10-30,0.0,0.0,0.0,120-300,100.0
Sankhuwasabha,100-250,30-60,10-30,0.0,0.0,0.0,120-300,100.0
Koshi,120-250,30-60,10-30,0.0,0.0,0.0,300-700,100.0
Karnali,120-250,30-60,10-30,0.0,0.0,0.0,120-300,100.0
Sudurpashchim,120-250,30-60,10-30,0.0,0.0,0.0,400-800,100.0
Karnali,120-260,30-60,10-30,0.0,0.0,0.0,290-690,100.0
Sudurpashchim,130-250,30-60,10-30,0.0,0.0,0.0,280-630,100.0
Karnali,130-260,30-60,10-30,0.0,0.0,0.0,260-620,100.0
Karnali,130-270,30-60,10-30,0.0,0.0,0.0,330-740,100.0
Sudurpashchim,140-280,30-60,10-30,0.0,0.0,0.0,285-670,100.0
Gandaki,150-300,30-60,10-30,0.0,0.0,0.0,450-900,100.0
Karnali,150-300,30-60,10-30,0.0,0.0,0.0,400-800,100.0
Karnali Border,150-300,30-60,10-30,0.0,0.0,0.0,330-750,100.0
Sudurpashchim,160-320,30-60,10-30,0.0,0.0,0.0,350-770,100.0
Karnali,160-320,30-60,10-30,0.0,0.0,0.0,360-820,100.0
Gandaki,50-130,30-60,10-30,0.0,0.0,0.0,210-540,100.0
Gandaki,50-150,30-60,10-30,0.0,0.0,0.0,210-570,100.0
Bagmati,60-130,30-60,10-30,0.0,0.0,0.0,215-540,100.0
Koshi,60-140,30-60,10-30,0.0,0.0,0.0,210-540,100.0
Gandaki,70-140,30-60,10-30,0.0,0.0,0.0,230-530,100.0
Bagmati,70-140,30-60,10-30,0.0,0.0,0.0,220-500,100.0
Gandaki,70-160,30-60,10-30,0.0,0.0,0.0,230-580,100.0
Bagmati,80-160,30-60,10-30,0.0,0.0,0.0,245-640,100.0
Gandaki,80-170,30-60,10-30,0.0,0.0,0.0,260-640,100.0
Sudurpashchim,150-320,35-70,10-30,0.0,0.0,0.0,385-860,100.0
Karnali,170-330,35-70,10-30,0.0,0.0,0.0,355-790,100.0
Sudurpashchim,180-350,35-70,10-30,0.0,0.0,0.0,415-890,100.0
Karnali,180-350,35-70,10-30,0.0,0.0,0.0,385-860,100.0
Sudurpashchim,200-400,35-70,10-30,0.0,0.0,0.0,435-940,100.0
Sudurpashchim,50-150,35-70,10-30,0.0,0.0,0.0,285-690,100.0
Gandaki,60-130,35-70,10-30,0.0,0.0,0.0,250-610,100.0
Sudurpashchim,10-25,10-25,10-40,0.0,0.0,0.0,45-150,100.0
Bagmati,10-30,10-25,10-40,0.0,0.0,0.0,45-165,100.0
Gandaki,3-10,10-25,10-40,0.0,0.0,0.0,50-160,100.0
Sudurpashchim,5-15,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Gandaki,5-15,10-25,10-40,0.0,0.0,0.0,50-170,100.0
Bagmati,5-20,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Gandaki,5-20,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Sudurpashchim,5-20,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Lumbini,5-20,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Madhesh,5-20,10-25,10-40,0.0,0.0,0.0,45-145,100.0
Gandaki,8-20,10-25,10-40,0.0,0.0,0.0,45-150,100.0
Bagmati,10-25,15-30,10-40,0.0,0.0,0.0,55-170,100.0
Gandaki,10-30,15-30,10-40,0.0,0.0,0.0,45-160,100.0
Sudurpashchim,10-30,15-30,10-40,0.0,0.0,0.0,80-200,100.0
Bagmati,15-35,15-30,10-40,0.0,0.0,0.0,50-170,100.0
Bagmati,15-40,15-30,10-40,0.0,0.0,0.0,55-170,100.0
Bagmati,20-40,15-30,10-40,0.0,0.0,0.0,100-250,100.0
Gandaki,15-35,15-35,10-40,0.0,0.0,0.0,55-170,100.0
Sudurpashchim,30-70,20-40,10-40,0.0,0.0,0.0,70-200,100.0
Koshi,40-90,20-40,10-40,0.0,0.0,0.0,60-190,100.0
Koshi,100-250,30-60,10-40,0.0,0.0,0.0,300-700,100.0
Sudurpashchim,150-300,30-60,10-40,0.0,0.0,0.0,120-350,100.0
Gandaki,200-400,30-60,10-40,0.0,0.0,0.0,120-350,100.0
Gandaki,250-400,30-60,10-40,0.0,0.0,0.0,120-350,100.0
Karnali,250-500,30-60,10-40,0.0,0.0,0.0,120-350,100.0
Lumbini,150-300,35-70,10-40,0.0,0.0,0.0,360-830,100.0
Karnali,250-450,35-70,10-40,0.0,0.0,0.0,485-1110,100.0
Sudurpashchim,220-420,40-80,10-40,0.0,0.0,0.0,500-1080,100.0
Sudurpashchim,250-450,40-80,10-40,0.0,0.0,0.0,620-1210,100.0
Madhesh,20-30,1,100-200,0.0,0.0,0.0,45-145,100.0
Lumbini,25-40,1-2,100-200,0.0,0.0,0.0,45-145,100.0
Lumbini,120-160,4-6,1000-1400,0.0,0.0,0.0,55-170,100.0
Koshi,130-180,5-7,1000-1500,0.0,0.0,0.0,55-170,100.0
Bagmati,20-30,1-2,1200-1600,0.0,0.0,0.0,45-150,100.0
Bagmati,35-50,2-3,1200-1600,0.0,0.0,0.0,45-155,100.0
Gandaki,100-140,4-6,1200-1600,0.0,0.0,0.0,55-170,100.0
Koshi,120-170,4-6,1200-1800,0.0,0.0,0.0,70-180,100.0
Bagmati,80-120,4-6,1200-2000,0.0,0.0,0.0,55-170,100.0
Koshi,150-200,5-7,1200-2000,0.0,0.0,0.0,70-180,100.0
Bagmati,15-20,1,1300-1500,0.0,0.0,0.0,45-150,100.0
Bagmati,60-80,3-4,1400-1600,0.0,0.0,0.0,55-170,100.0
Gandaki,50-80,5-8,1400-1600,0.0,0.0,0.0,70-200,100.0
Bagmati,40-60,2-3,1400-2000,0.0,0.0,0.0,55-170,100.0
Bagmati,15-25,1-2,1400-2700,0.0,0.0,0.0,45-155,100.0
Gandaki,70-150,30-60,15-30,0.0,0.0,0.0,235-550,100.0
Karnali,70-160,30-60,15-30,0.0,0.0,0.0,225-550,100.0
Sudurpaschim,80-160,30-60,15-30,0.0,0.0,0.0,235-520,100.0
Gandaki,90-160,30-60,15-30,0.0,0.0,0.0,245-520,100.0
Lumbini,10-25,10-25,15-40,0.0,0.0,0.0,45-155,100.0
Koshi,180-300,30-60,15-40,0.0,0.0,0.0,100-300,100.0
Koshi,10-25,10-25,15-50,0.0,0.0,0.0,45-160,100.0
Madhesh,10-30,10-25,15-50,0.0,0.0,0.0,50-165,100.0
Koshi,15-35,10-25,15-50,0.0,0.0,0.0,45-165,100.0
Sudurpashchim,25-60,10-25,15-50,0.0,0.0,0.0,50-170,100.0
Bagmati,3-10,10-25,15-50,0.0,0.0,0.0,45-155,100.0
Madhesh,5-15,10-25,15-50,0.0,0.0,0.0,45-160,100.0
Ilam,5-15,10-25,15-50,0.0,0.0,0.0,45-155,100.0
Morang,5-15,10-25,15-50,0.0,0.0,0.0,45-155,100.0
Jhapa,5-15,10-25,15-50,0.0,0.0,0.0,45-155,100.0
Lumbini,8-20,10-25,15-50,0.0,0.0,0.0,45-165,100.0
Madhesh,8-20,10-25,15-50,0.0,0.0,0.0,45-165,100.0
Ilam,10-25,15-30,15-50,0.0,0.0,0.0,50-170,100.0
Koshi,10-30,15-30,15-50,0.0,0.0,0.0,55-170,100.0
Lumbini,15-40,15-30,15-50,0.0,0.0,0.0,55-170,100.0
Koshi,15-40,15-30,15-50,0.0,0.0,0.0,55-175,100.0
Dhankuta,15-40,15-30,15-50,0.0,0.0,0.0,55-170,100.0
Koshi,20-50,15-30,15-50,0.0,0.0,0.0,55-175,100.0
Ilam,20-50,15-35,15-50,0.0,0.0,0.0,70-200,100.0
Karnali,20-60,15-35,15-50,0.0,0.0,0.0,60-200,100.0
Bagmati,8-20,10-25,15-60,0.0,0.0,0.0,50-175,100.0
Gandaki,8-120,15-30,15-80,0.0,0.0,0.0,50-220,100.0
Sudurpashchim,60-90,2-3,150-250,0.0,0.0,0.0,45-150,100.0
Koshi,30-50,1-2,150-300,0.0,0.0,0.0,45-150,100.0
Sudurpashchim,50-80,2-4,150-300,0.0,0.0,0.0,65-190,100.0
Lumbini,100-150,3-5,150-300,0.0,0.0,0.0,65-190,100.0
Lumbini,90-120,3-5,150-300,0.0,0.0,0.0,65-190,100.0
Koshi,70-100,2-3,150-500,0.0,0.0,0.0,45-155,100.0
Bagmati,130-170,5-7,1500-2000,0.0,0.0,0.0,55-170,100.0
Bagmati,20-35,1-2,1500-2100,0.0,0.0,0.0,45-160,100.0
Koshi,80-120,4-6,1500-2500,0.0,0.0,0.0,70-200,100.0
Gandaki,25-40,2-4,1600-2200,0.0,0.0,0.0,55-170,100.0
Bagmati,150-180,5-7,1600-2200,0.0,0.0,0.0,55-170,100.0
Koshi,180-230,6-8,1600-2200,0.0,0.0,0.0,70-180,100.0
Bagmati,50-80,2-4,1800-2200,0.0,0.0,0.0,55-170,100.0
Bagmati,70-100,3-5,1800-2200,0.0,0.0,0.0,55-170,100.0
Sudurpashchim,100-140,4-6,1800-2500,0.0,0.0,0.0,70-200,100.0
Gandaki,50-70,5-7,1900-2200,0.0,0.0,0.0,70-200,100.0
Gandaki,100-220,30-60,20-40,0.0,0.0,0.0,450-900,100.0
Karnali,100-250,30-60,20-40,0.0,0.0,0.0,250-600,100.0
Bagmati,120-250,30-60,20-40,0.0,0.0,0.0,500-1000,100.0
Bagmati,100-180,35-70,20-40,0.0,0.0,0.0,385-770,100.0
Madhesh,100-180,35-70,20-40,0.0,0.0,0.0,285-640,100.0
Lumbini,100-180,35-70,20-40,0.0,0.0,0.0,285-640,100.0
Sudurpaschim,100-200,35-70,20-40,0.0,0.0,0.0,295-620,100.0
Madhesh,100-220,35-70,20-40,0.0,0.0,0.0,275-680,100.0
Sudurpaschim,120-250,35-70,20-40,0.0,0.0,0.0,355-790,100.0
Bagmati,150-300,35-70,20-40,0.0,0.0,0.0,500-1000,100.0
Bagmati,70-160,35-70,20-40,0.0,0.0,0.0,275-670,100.0
Gandaki,80-160,35-70,20-40,0.0,0.0,0.0,285-670,100.0
Gandaki,90-180,35-70,20-40,0.0,0.0,0.0,315-690,100.0
Gandaki,120-280,40-80,20-40,0.0,0.0,0.0,350-870,100.0
Gandaki,180-350,40-80,20-40,0.0,0.0,0.0,600-1200,100.0
Sudurpashchim,200-450,40-80,20-40,0.0,0.0,0.0,520-1270,100.0
Lumbini,40-80,20-40,20-50,0.0,0.0,0.0,340-740,100.0
Sudurpashchim,40-80,20-40,20-50,0.0,0.0,0.0,340-740,100.0
Madhesh,40-80,20-40,20-50,0.0,0.0,0.0,340-740,100.0
Gandaki,100-250,30-60,20-50,0.0,0.0,0.0,250-600,100.0
Bagmati,100-250,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Gandaki,100-300,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Koshi,100-300,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Koshi,120-300,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Gandaki,120-300,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Koshi,150-300,30-60,20-50,0.0,0.0,0.0,300-700,100.0
Sudurpashchim,150-350,30-60,20-50,0.0,0.0,0.0,600-1400,100.0
Karnali,150-350,30-60,20-50,0.0,0.0,0.0,500-1200,100.0
Gandaki,150-350,30-70,20-50,0.0,0.0,0.0,700-1500,100.0
Karnali,150-400,30-70,20-50,0.0,0.0,0.0,600-1500,100.0
Bagmati,100-220,35-70,20-50,0.0,0.0,0.0,375-880,100.0
Bagmati,150-350,35-70,20-50,0.0,0.0,0.0,700-1400,100.0
Sudurpaschim,150-350,35-70,20-50,0.0,0.0,0.0,355-940,100.0
Bagmati,50-150,35-70,20-50,0.0,0.0,0.0,275-790,100.0
Karnali,100-300,40-80,20-50,0.0,0.0,0.0,330-950,100.0
Gandaki,130-300,40-80,20-50,0.0,0.0,0.0,360-900,100.0
Gandaki,150-280,40-80,20-50,0.0,0.0,0.0,410-860,100.0
Koshi,150-280,40-80,20-50,0.0,0.0,0.0,410-910,100.0
Koshi,150-350,40-80,20-50,0.0,0.0,0.0,600-1500,100.0
Lumbini,150-350,40-80,20-50,0.0,0.0,0.0,410-1050,100.0
Koshi,180-350,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Lumbini,180-350,40-80,20-50,0.0,0.0,0.0,450-1000,100.0
Koshi,180-400,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Sudurpashchim,180-400,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Gandaki,180-400,40-80,20-50,0.0,0.0,0.0,510-1250,100.0
Karnali,200-400,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Koshi,200-400,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Koshi,200-450,40-80,20-50,0.0,0.0,0.0,580-1400,100.0
Koshi,200-500,40-80,20-50,0.0,0.0,0.0,800-1800,100.0
Gandaki,200-500,40-80,20-50,0.0,0.0,0.0,700-1500,100.0
Karnali,200-500,40-80,20-50,0.0,0.0,0.0,900-2000,100.0
Sudurpashchim,200-500,40-80,20-50,0.0,0.0,0.0,900-1800,100.0
Karnali,220-450,40-80,20-50,0.0,0.0,0.0,800-1600,100.0
Koshi,250-500,40-80,20-50,0.0,0.0,0.0,1000-2000,100.0
Karnali,280-450,40-80,20-50,0.0,0.0,0.0,530-1130,100.0
Karnali,300-500,40-80,20-50,0.0,0.0,0.0,620-1280,100.0
Karnali,280-500,40-90,20-50,0.0,0.0,0.0,600-1290,100.0
Karnali,300-550,40-90,20-50,0.0,0.0,0.0,620-1340,100.0
Koshi,300-700,40-90,20-50,0.0,0.0,0.0,680-1690,100.0
Gandaki,140-320,45-90,20-50,0.0,0.0,0.0,425-1010,100.0
Gandaki,160-320,45-90,20-50,0.0,0.0,0.0,435-990,100.0
Gandaki,250-500,50-100,20-50,0.0,0.0,0.0,1000-2000,100.0
Karnali,350-600,50-100,20-50,0.0,0.0,0.0,830-1700,100.0
Karnali,400-800,50-100,20-50,0.0,0.0,0.0,1080-2300,100.0
Jhapa,10-25,10-25,20-60,0.0,0.0,0.0,45-165,100.0
Jhapa,15-35,10-25,20-60,0.0,0.0,0.0,45-165,100.0
