osm_type,osm_id,name,tourism,description,website,phone,email,opening_hours,wikidata,wikipedia,operator,district,latitude,longitude
node,12290017218,Hotel Vintage Home,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.673088,85.4292054
node,12290017909,Hotel Layaku Durbar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6734199,85.429187
node,12290024003,Hotel Durbar Side,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6733524,85.4292378
node,12291429901,Bhajyu Pukhu,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.670594,85.4209291
node,13307960101,Manju Baha Hotel School,hotel,Not Available,Not Available,9779767234014.0,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6748394,85.4337653
way,186261908,Hotel Planet Bhaktapur,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.681936481285668,85.43023699350563
way,186264410,Changu Narayan Temple,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Q1062150,en:Changu Narayan,Not Available,Bhaktapur,27.71634702094824,85.42789685828964
way,211080700,Rameshwar temple,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.67226382563795,85.4273923925574
way,211080702,Badrinath Tirtha,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6721295,85.4273817
way,215469710,Nabin Tanbee Restaurant and Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.674980068458,85.36328919440311
way,227958650,Pilot Baba Ashram,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.640524132844853,85.42251986220002
way,341457774,Bhanubhakta Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.674493744300893,85.41762797081212
way,341470925,Devkota Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.67442221838628,85.4166829175917
way,341470926,Lekhnath Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6746932122786,85.41672332926746
way,341470927,Araniko Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.674108642261952,85.41748922275144
way,341776797,The Nest Guest Gouse,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.717061478576746,85.4264251425895
way,344238868,Siddhartha Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.67115858892782,85.41678750475258
way,495632720,Gehendra Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.67389981856484,85.41612574313126
way,495632722,Amarsingh Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.673740702584908,85.41669413676519
way,495632726,Balmiki Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.67125767127138,85.41604163233029
way,495632745,Chyasing Mandap,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.672095374802527,85.42850989432542
way,509570330,Hotel Manohara,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.681330668720307,85.36070893309571
way,954153629,Exchange,information,Not Available,Not Available,Not Available,Not Available,Su-Sa 05:00-22:00,Not Available,Not Available,Not Available,Bhaktapur,27.67145070518034,85.41772962408534
way,1174919554,Silver Mountain,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.718152527003603,85.51825600658741
way,1174920526,Gaurisankhar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.718166835251456,85.51780954173464
way,1470255732,Homestay Inn,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.68104120268043,85.36393299289706
node,567131171,Wildlife Camp,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5796638,84.4944877
node,567142203,Tharu Cultural Museum,museum,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.581435,84.5084926
node,567142502,Chitwan National Park Info Office,information,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5741111,84.4937879
node,567151136,Elephant Riding,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5943703,84.4814665
node,1036992010,Chitwan Forest Resort,hotel,Not Available,https://chitwanforestresort.com/,056580052; 9855062052,chitwanforestresort@gmail.com,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5814939,84.4933201
node,1036992013,Wendy's Lodge,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.579975,84.4939485
node,1036992015,Hambro Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.575503,84.4934985
node,1036992016,Hotel Nature Heritage,guest_house,Not Available,Not Available,056580432,nature.heritage@hotmail.com,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5752772,84.4938066
node,1036992017,Hotel Riverside,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5757228,84.4935964
node,1036992019,Royal Park Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5766044,84.4942566
node,1036992020,Rhino Lodge,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.577962,84.4938869
node,1036992021,Jungle Safari Lodge,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5783811,84.4943653
node,1036992022,River View Jungle Camp,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5785862,84.4939309
node,1036992023,Chitwan Resort and Camp,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5795771,84.4939309
node,1038273465,Elephant Safari Resort,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5839582,84.4676585
node,1038273470,Paradise Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5830949,84.4877969
node,1038273473,Jungle Lodge Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5810427,84.4934679
node,1341052505,Lodge,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5823681,84.4951611
node,1341052548,Safari Adventure Lodge,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5850688,84.473262
node,1527166789,Tiger Tops Tented Camp,camp_site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5270961,84.2241729
node,1527166847,Tiger Tops Jungle Lodge,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Tiger Tops,Chitwan,27.5416948,84.1900766
node,1534450701,Sapana Lodge,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5897518,84.491939
node,1537553863,Jungle Sunset hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5788472,84.4924548
node,1656837339,Eden Jungle Resort,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5752776,84.5002433
node,1656837342,Hotel Parkland,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5768136,84.4987172
node,1960276756,Red Karpet,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6913845,84.4258888
node,2318449855,Jungle Resort Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5825038,84.4888158
node,2318482509,Butterfly Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5744339,84.4983694
node,2456662953,Global Hotel Reception,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6816845,84.43113
node,3040917660,Baghmara Wildlife Resort,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5930023,84.4834844
node,3144947770,Riverside Springs Resort,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8746269,84.616457
node,3212153306,Chitwan medical college hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.69027,84.4350488
node,3343068477,anamol hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.701038,84.4285126
node,3343357059,Hotel Muktinath,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6979595,84.4209567
node,3343360370,narayani bhojanalaya,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6997193,84.4245334
node,3343362294,new gita hotel.com,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.698329,84.4215766
node,3343362295,welcome khaja ghar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6983001,84.421511
node,3343362302,hotel satunchali,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7032944,84.4313618
node,3343362899,hotel tirupati,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6978612,84.4206381
node,3345298956,pancha kanya parti placee,party_palace,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7001636,84.42447
node,3366227355,image,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7030259,84.4308853
node,3374636659,lama hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6897408,84.4353475
node,3380882370,Paudel Khaja Ghar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6868222,84.4294169
node,3392269854,gorkhali khaja fhar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6878591,84.4316796
node,3392281246,subhakamana girls hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6889924,84.4337166
node,3392281249,Hotel Sky,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6830973,84.4309539
node,3392281259,hotel ashoka,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6851602,84.4294532
node,3392281649,namaste party palace,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6723394,84.4327636
node,3392281652,chaar tale hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6740316,84.4320509
node,3392281800,holiday party venue,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6675541,84.4223473
node,3392283800,Dipanjali Girls Hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6870242,84.4313805
node,3392361327,CFC,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6833385,84.4337483
node,3392361333,aasha manakamana girls hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6743327,84.4359605
node,3392362856,CMT Resort,hotel,Not Available,https://www.cmtresort.com/,+977 9855061992,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6704041,84.437481
node,3393435244,Galaxy Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7032463,84.4333816
node,3393435245,Hotel Royal Satanchuli,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7033307,84.4327105
node,3393435706,Laliguras hotel and guest house,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.7026636,84.4322886
node,3397858914,little flower hostel,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6855474,84.4128505
node,3453242679,Tikauli Biodiversity Information Center,information,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6354895,84.4819711
node,3453243497,Hotel Star Chitwan Pvt. Ltd.,hotel,Not Available,hotalstarchitwan.com,056-560992,info@hotalstarchitwan.com,Not Available,Not Available,Not Available,Not Available,Chitwan,27.6250055,84.5027112
node,3673012564,Landmark forest park,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5876832,84.4843642
node,3741083586,Barahi Jungle Lodge,hotel,Not Available,http://www.barahijunglelodge.com/,+977 56 695447; 4411113,jungle@barahi.com,Not Available,Not Available,Not Available,Pungdundee Safaris,Chitwan,27.5688625,84.1958172
node,3800190161,Chaudhary Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.5815294,84.2095446
node,4206968201,Anish Khaja Ghar and Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8559212,84.5600853
node,4206968204,Gorkha Hotel and Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8560954,84.5603565
node,4206968205,Ikshya Kamana Cold Store and Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8562287,84.5606035
node,4206968206,Nawadurga Hotel and Lodge,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8558694,84.5599867
node,4206968208,Prem Hotel and Lodge,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8557724,84.5598074
node,4206968210,Royal Gorkhali Restaurant and Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chitwan,27.8559117,84.5600504
