place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category
Panch Pokhari,28.0,85.62,Sindhupalchok,5.0,12.0,4.0,3.0,8.0,0.0,0.0,0.0,100.0,82.0,89.0,HIGH
Helambu Trek,28.05,85.55,Sindhupalchok,6.0,10.0,5.0,3.0,7.0,1.0,1.0,0.0,85.0,80.0,83.0,HIGH
Tsho Rolpa Lake,27.85,86.47,Dolakha,8.0,15.0,8.0,5.0,10.0,0.0,0.0,0.0,100.0,95.0,97.0,HIGH
Rolwaling Valley,27.82,86.42,Dolakha,7.0,14.0,10.0,3.0,9.0,0.0,0.0,0.0,100.0,96.0,98.0,HIGH
Jiri Everest Gateway,27.63,86.23,Dolakha,3.0,6.0,1.0,2.0,5.0,2.0,3.0,0.0,65.0,55.0,60.0,HIGH
Kyanjin Gompa,28.21,85.56,Rasuwa,6.0,14.0,6.0,2.0,8.0,0.0,1.0,0.0,90.0,88.0,89.0,HIGH
Tatopani Rasuwa,28.13,85.3,Rasuwa,3.0,7.0,0.0,6.0,5.0,2.0,2.0,1.0,55.0,50.0,52.0,MEDIUM
Gosainkunda Pass,28.09,85.41,Rasuwa,7.0,13.0,9.0,2.0,7.0,0.0,0.0,0.0,100.0,92.0,96.0,HIGH
Kakani Viewpoint,27.82,85.25,Nuwakot,1.0,3.0,0.0,2.0,4.0,8.0,5.0,1.0,35.0,35.0,35.0,MEDIUM
Trishuli River Rafting,27.92,85.15,Nuwakot,6.0,2.0,0.0,10.0,3.0,4.0,3.0,1.0,45.0,60.0,51.0,MEDIUM
Nuwakot Durbar,27.91,85.16,Nuwakot,1.0,2.0,0.0,2.0,7.0,5.0,5.0,2.0,40.0,30.0,34.0,MEDIUM
Ghalegaun,28.25,84.4,Lamjung,2.0,5.0,1.0,2.0,4.0,2.0,3.0,0.0,65.0,45.0,53.0,MEDIUM
Sikles Village,28.37,84.12,Kaski,3.0,8.0,2.0,2.0,5.0,1.0,1.0,0.0,85.0,60.0,75.0,HIGH
Kapuche Lake,28.5,84.1,Kaski,5.0,12.0,6.0,2.0,6.0,0.0,0.0,0.0,100.0,85.0,92.0,HIGH
Kori Danda,28.48,84.25,Kaski,4.0,9.0,5.0,2.0,5.0,0.0,0.0,0.0,100.0,75.0,86.0,HIGH
Ghandruk Village,28.37,83.81,Kaski,2.0,5.0,1.0,2.0,4.0,3.0,4.0,1.0,55.0,45.0,49.0,MEDIUM
Dhampus Village,28.3,83.82,Kaski,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,40.0,30.0,34.0,MEDIUM
Australian Camp,28.32,83.8,Kaski,2.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,45.0,35.0,40.0,MEDIUM
Tatopani Myagdi,28.54,83.67,Myagdi,3.0,8.0,0.0,7.0,4.0,2.0,2.0,0.0,70.0,60.0,66.0,HIGH
Ghorepani Village,28.4,83.69,Myagdi,2.0,6.0,2.0,2.0,3.0,2.0,2.0,0.0,75.0,50.0,62.0,HIGH
Kali Gandaki Gorge,28.7,83.6,Mustang,5.0,10.0,5.0,3.0,6.0,0.0,1.0,0.0,90.0,80.0,86.0,HIGH
Marpha Village,28.75,83.69,Mustang,1.0,4.0,1.0,3.0,3.0,2.0,3.0,0.0,65.0,40.0,55.0,MEDIUM
Jomsom,28.78,83.72,Mustang,4.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,60.0,55.0,57.0,MEDIUM
Lo Manthang,29.18,83.95,Mustang,2.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,100.0,45.0,75.0,HIGH
Damodar Kunda,29.07,83.9,Mustang,5.0,10.0,8.0,2.0,7.0,0.0,0.0,0.0,100.0,90.0,95.0,HIGH
Muktinath Pass,28.82,83.87,Mustang,4.0,7.0,5.0,2.0,5.0,1.0,1.0,0.0,85.0,70.0,80.0,HIGH
Barpak Village,28.22,84.75,Gorkha,4.0,10.0,2.0,2.0,8.0,1.0,1.0,0.0,90.0,75.0,84.0,HIGH
Laprak Village,28.28,84.77,Gorkha,3.0,8.0,3.0,2.0,6.0,0.0,1.0,0.0,95.0,70.0,82.0,HIGH
Tsum Valley,28.53,84.85,Gorkha,6.0,14.0,6.0,2.0,9.0,0.0,0.0,0.0,100.0,95.0,98.0,HIGH
Chum Valley,28.6,84.9,Gorkha,5.0,12.0,5.0,3.0,8.0,0.0,0.0,0.0,100.0,88.0,94.0,HIGH
Gorkha Durbar,28.0,84.63,Gorkha,1.0,2.0,0.0,2.0,6.0,5.0,5.0,1.0,35.0,30.0,32.0,MEDIUM
Manakamana Temple,27.95,84.58,Gorkha,2.0,4.0,0.0,4.0,5.0,8.0,6.0,2.0,35.0,40.0,38.0,MEDIUM
Bandipur,27.94,84.41,Tanahun,1.0,3.0,0.0,3.0,4.0,10.0,8.0,2.0,30.0,30.0,30.0,LOW
Siddha Cave,27.93,84.42,Tanahun,2.0,2.0,0.0,2.0,3.0,6.0,5.0,1.0,40.0,25.0,32.0,MEDIUM
Maula Kalika Temple,27.68,84.43,Nawalpur,1.0,1.0,0.0,5.0,3.0,10.0,8.0,2.0,30.0,25.0,28.0,LOW
Devghat Dham,27.92,84.4,Tanahun,1.0,0.0,0.0,4.0,3.0,15.0,10.0,2.0,20.0,20.0,20.0,LOW
Palpa Shreenagar Hill,27.87,83.55,Palpa,1.0,2.0,0.0,2.0,4.0,7.0,5.0,1.0,40.0,30.0,34.0,MEDIUM
Rani Mahal Palace,27.85,83.55,Palpa,2.0,3.0,0.0,4.0,4.0,5.0,5.0,1.0,45.0,40.0,43.0,MEDIUM
Bhairahawa Buddha Sites,27.51,83.45,Rupandehi,0.0,0.0,0.0,3.0,2.0,20.0,15.0,5.0,10.0,15.0,18.0,LOW
Tilaurakot,27.57,83.05,Kapilvastu,0.0,1.0,0.0,2.0,2.0,10.0,8.0,2.0,25.0,15.0,23.0,LOW
Jagadishpur Reservoir,27.55,83.0,Kapilvastu,1.0,0.0,0.0,8.0,2.0,5.0,5.0,1.0,45.0,35.0,42.0,MEDIUM
Khopra Ridge,28.43,83.74,Myagdi,7.0,12.0,8.0,2.0,6.0,0.0,0.0,0.0,90.0,78.0,82.0,HIGH
Muldai View Point,28.5,83.75,Myagdi,4.0,8.0,4.0,2.0,5.0,5.0,3.0,1.0,65.0,60.0,65.0,MEDIUM
Mohan Pokhari,27.95,84.0,Tanahun,1.0,2.0,0.0,5.0,3.0,40.0,30.0,10.0,10.0,20.0,25.0,LOW
Sundarijal Waterfall,27.79,85.43,Kathmandu,2.0,5.0,0.0,4.0,4.0,90.0,80.0,25.0,5.0,30.0,32.0,LOW
Kirtipur Heritage Area,27.67,85.28,Kathmandu,1.0,0.0,0.0,2.0,5.0,100.0,90.0,30.0,5.0,15.0,22.0,LOW
Chandragiri Hills,27.68,85.24,Kathmandu,2.0,3.0,0.0,3.0,4.0,100.0,80.0,30.0,5.0,20.0,25.0,LOW
Phulchoki Hill,27.58,85.41,Lalitpur,3.0,5.0,0.0,4.0,5.0,70.0,60.0,20.0,15.0,35.0,38.0,LOW
Godavari Botanical Garden,27.59,85.39,Lalitpur,1.0,1.0,0.0,4.0,3.0,80.0,60.0,25.0,5.0,15.0,20.0,LOW
Nuwakot Durbar,27.92,85.17,Nuwakot,2.0,4.0,0.0,3.0,8.0,40.0,30.0,10.0,15.0,40.0,42.0,MEDIUM
Kakani View Point,27.8,85.28,Nuwakot,2.0,5.0,0.0,3.0,5.0,50.0,35.0,10.0,15.0,35.0,40.0,LOW
Tatopani Sindhupalchok,27.95,85.97,Sindhupalchok,6.0,12.0,2.0,8.0,8.0,20.0,20.0,5.0,45.0,65.0,65.0,MEDIUM
Bhairav Kunda,28.01,85.82,Sindhupalchok,8.0,15.0,5.0,4.0,10.0,0.0,0.0,0.0,100.0,90.0,88.0,HIGH
Jiri Valley,27.63,86.24,Dolakha,4.0,8.0,2.0,3.0,6.0,25.0,20.0,5.0,40.0,55.0,55.0,MEDIUM
Sailung,27.77,86.26,Dolakha,10.0,15.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0,85.0,84.0,HIGH
Namche Bazaar,27.805,86.71,Solukhumbu,15.0,10.0,12.0,1.0,7.0,0.0,5.0,0.0,90.0,80.0,85.0,HIGH
Gokyo Lake,27.95,86.69,Solukhumbu,18.0,15.0,15.0,1.0,8.0,0.0,0.0,0.0,100.0,95.0,92.0,HIGH
Chhukung Valley,27.9,86.85,Solukhumbu,20.0,18.0,18.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Pikey Peak,27.65,86.5,Solukhumbu,8.0,10.0,6.0,2.0,7.0,5.0,5.0,2.0,70.0,70.0,72.0,HIGH
Tinjure Milke Jaljale,27.2,87.55,Tehrathum,6.0,10.0,5.0,3.0,7.0,10.0,10.0,3.0,65.0,65.0,68.0,MEDIUM
Mai Pokhari,27.01,87.92,Ilam,1.0,2.0,0.0,5.0,2.0,40.0,30.0,10.0,5.0,20.0,25.0,LOW
Sandakpur,27.05,87.88,Ilam,5.0,8.0,5.0,2.0,5.0,10.0,10.0,2.0,60.0,60.0,65.0,MEDIUM
Antu Danda,26.87,88.05,Ilam,1.0,2.0,0.0,3.0,2.0,40.0,30.0,10.0,5.0,15.0,20.0,LOW
Pathibhara View Area,27.35,87.73,Taplejung,10.0,12.0,8.0,2.0,7.0,5.0,5.0,2.0,75.0,75.0,75.0,HIGH
Mai Valley,27.0,87.85,Ilam,2.0,4.0,0.0,5.0,3.0,30.0,20.0,5.0,15.0,30.0,32.0,LOW
Halesi Mahadev,27.32,86.65,Khotang,2.0,3.0,0.0,4.0,5.0,30.0,25.0,5.0,20.0,30.0,35.0,LOW
Amai Rural Trail,27.4,86.9,Bhojpur,7.0,10.0,4.0,2.0,6.0,5.0,5.0,2.0,65.0,60.0,65.0,MEDIUM
Silichung Base Area,27.7,87.1,Sankhuwasabha,15.0,18.0,15.0,2.0,9.0,0.0,0.0,0.0,100.0,95.0,93.0,HIGH
Makalu Barun Park,27.75,87.1,Sankhuwasabha,18.0,20.0,18.0,3.0,10.0,0.0,0.0,0.0,100.0,100.0,97.0,HIGH
Tinjure Hill,27.21,87.55,Tehrathum,4.0,7.0,3.0,2.0,5.0,10.0,10.0,3.0,60.0,55.0,60.0,MEDIUM
Dhorpatan Valley,28.52,83.0,Baglung,12.0,15.0,8.0,4.0,8.0,5.0,5.0,2.0,75.0,85.0,82.0,HIGH
Panchase Hill,28.25,83.85,Kaski,2.0,5.0,0.0,3.0,4.0,50.0,30.0,10.0,15.0,30.0,35.0,LOW
Begnas Rupakot Area,28.17,84.08,Kaski,2.0,3.0,0.0,8.0,3.0,60.0,40.0,15.0,10.0,30.0,32.0,LOW
Kahu Danda,28.24,84.0,Kaski,1.0,3.0,0.0,3.0,3.0,70.0,50.0,20.0,5.0,20.0,25.0,LOW
Sikles Trek Route,28.38,84.15,Kaski,5.0,8.0,3.0,3.0,5.0,10.0,5.0,2.0,55.0,60.0,62.0,MEDIUM
Lamachaur View Area,28.27,84.0,Kaski,1.0,2.0,0.0,3.0,3.0,80.0,60.0,20.0,5.0,15.0,20.0,LOW
Narchyang Village,28.56,83.65,Myagdi,10.0,15.0,8.0,2.0,7.0,0.0,0.0,0.0,90.0,85.0,85.0,HIGH
Mudi Village,28.6,83.5,Myagdi,8.0,12.0,6.0,3.0,7.0,0.0,0.0,0.0,90.0,80.0,82.0,HIGH
Lete Village,28.65,83.62,Mustang,6.0,8.0,5.0,2.0,6.0,5.0,5.0,2.0,70.0,65.0,70.0,HIGH
Kagbeni,28.83,83.78,Mustang,4.0,5.0,3.0,2.0,5.0,10.0,10.0,3.0,60.0,55.0,60.0,MEDIUM
Muktinath,28.82,83.87,Mustang,3.0,4.0,2.0,1.0,4.0,20.0,15.0,5.0,40.0,45.0,45.0,MEDIUM
Tatopani Myagdi,28.5,83.6,Myagdi,5.0,7.0,2.0,10.0,5.0,20.0,15.0,5.0,45.0,55.0,55.0,MEDIUM
Kushma Bridge,28.22,83.69,Parbat,1.0,2.0,0.0,5.0,3.0,40.0,30.0,10.0,10.0,20.0,25.0,LOW
Ghandruk Village,28.37,83.81,Kaski,3.0,6.0,2.0,3.0,4.0,20.0,15.0,5.0,30.0,45.0,45.0,MEDIUM
Dhampus Village,28.32,83.82,Kaski,1.0,3.0,0.0,3.0,3.0,50.0,40.0,10.0,10.0,25.0,30.0,LOW
Australian Camp Trail,28.34,83.82,Kaski,2.0,4.0,0.0,3.0,3.0,40.0,30.0,10.0,15.0,25.0,30.0,LOW
Shivapuri National Park,27.82,85.4,Kathmandu,3.0,5.0,0.0,2.0,5.0,80.0,70.0,20.0,10.0,30.0,35.0,LOW
Bhaktapur Durbar Square,27.672,85.43,Bhaktapur,1.0,0.0,0.0,3.0,7.0,100.0,90.0,30.0,5.0,20.0,25.0,LOW
Patan Durbar Square,27.673,85.325,Lalitpur,1.0,0.0,0.0,2.0,7.0,100.0,90.0,30.0,5.0,20.0,25.0,LOW
Kathmandu Durbar Square,27.704,85.307,Kathmandu,2.0,0.0,0.0,3.0,8.0,100.0,90.0,30.0,5.0,25.0,30.0,LOW
Chisapani Village,27.82,85.35,Kathmandu,3.0,6.0,0.0,3.0,5.0,40.0,30.0,10.0,20.0,35.0,38.0,LOW
Nagarkot View Tower,27.715,85.52,Bhaktapur,2.0,3.0,0.0,4.0,5.0,70.0,60.0,20.0,10.0,25.0,30.0,LOW
Dhulikhel,27.62,85.55,Kavre,1.0,2.0,0.0,3.0,5.0,60.0,50.0,15.0,10.0,25.0,28.0,LOW
Begnas Lake,28.15,84.1,Kaski,2.0,1.0,0.0,10.0,3.0,60.0,40.0,15.0,10.0,35.0,35.0,LOW
Rupakot View Tower,28.17,84.08,Kaski,1.0,2.0,0.0,5.0,3.0,50.0,35.0,10.0,10.0,25.0,30.0,LOW
Sikles Village,28.38,84.15,Kaski,5.0,8.0,3.0,3.0,5.0,10.0,5.0,2.0,55.0,60.0,62.0,MEDIUM
Ghale Gaun,28.25,84.37,Lamjung,2.0,4.0,0.0,4.0,5.0,25.0,15.0,5.0,20.0,35.0,38.0,LOW
Bhujung Village,28.22,84.35,Lamjung,3.0,5.0,0.0,4.0,5.0,20.0,15.0,5.0,30.0,40.0,45.0,MEDIUM
Dordi Valley,28.3,84.45,Lamjung,6.0,10.0,4.0,3.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Taal Village,28.52,84.4,Manang,10.0,15.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0,85.0,85.0,HIGH
Nar Phu Valley,28.8,84.15,Manang,15.0,20.0,15.0,2.0,10.0,0.0,0.0,0.0,100.0,100.0,95.0,HIGH
Khangsar Village,28.65,84.03,Manang,10.0,14.0,10.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,85.0,HIGH
Ngawal Village,28.67,84.05,Manang,6.0,10.0,5.0,2.0,7.0,5.0,5.0,2.0,70.0,70.0,72.0,HIGH
Pisangkang Village,28.61,84.08,Manang,8.0,12.0,7.0,3.0,8.0,0.0,0.0,0.0,100.0,80.0,82.0,HIGH
Marpha Village,28.75,83.69,Mustang,2.0,4.0,3.0,1.0,5.0,20.0,15.0,5.0,40.0,45.0,45.0,MEDIUM
Kagbeni Village,28.83,83.78,Mustang,4.0,5.0,3.0,2.0,5.0,10.0,10.0,3.0,60.0,55.0,60.0,MEDIUM
Muktinath Temple,28.82,83.87,Mustang,3.0,4.0,2.0,1.0,4.0,20.0,15.0,5.0,40.0,45.0,45.0,MEDIUM
Lomanthang,29.18,83.96,Mustang,5.0,7.0,6.0,1.0,5.0,0.0,0.0,0.0,100.0,65.0,72.0,HIGH
Tukuche Village,28.68,83.65,Mustang,4.0,7.0,4.0,2.0,6.0,5.0,5.0,2.0,65.0,65.0,65.0,MEDIUM
Dhorpatan Reserve,28.52,83.0,Baglung,12.0,15.0,8.0,4.0,8.0,5.0,5.0,2.0,75.0,85.0,82.0,HIGH
Taman Khola,28.65,83.1,Baglung,8.0,12.0,5.0,3.0,7.0,0.0,0.0,0.0,90.0,75.0,78.0,HIGH
Baglung Kalika Temple,28.27,83.59,Baglung,2.0,4.0,0.0,4.0,4.0,40.0,30.0,10.0,15.0,25.0,30.0,LOW
Galeshwor Temple,28.36,83.55,Myagdi,2.0,3.0,0.0,5.0,4.0,30.0,25.0,5.0,20.0,30.0,35.0,LOW
Jaljala Rural Trail,28.35,83.5,Parbat,5.0,8.0,3.0,3.0,5.0,5.0,5.0,2.0,60.0,60.0,62.0,MEDIUM
Kusma Bazaar,28.215,83.68,Parbat,1.0,2.0,0.0,4.0,3.0,50.0,40.0,15.0,5.0,20.0,25.0,LOW
Syangja Panchamul,28.0,83.85,Syangja,2.0,3.0,0.0,5.0,3.0,50.0,35.0,10.0,10.0,25.0,30.0,LOW
Syangja Sirubari,28.05,83.75,Syangja,1.0,3.0,0.0,3.0,3.0,40.0,30.0,10.0,10.0,20.0,25.0,LOW
Tansen Srinagar Hill,27.87,83.54,Palpa,1.0,2.0,0.0,3.0,3.0,50.0,40.0,15.0,5.0,20.0,25.0,LOW
Rani Mahal,27.85,83.54,Palpa,1.0,1.0,0.0,8.0,3.0,40.0,35.0,10.0,5.0,30.0,30.0,LOW
Gulmi Resunga Hill,28.07,83.25,Gulmi,2.0,4.0,0.0,3.0,5.0,30.0,25.0,10.0,15.0,30.0,35.0,LOW
Arghakhanchi Supa Deurali,27.97,83.12,Arghakhanchi,2.0,3.0,0.0,3.0,4.0,30.0,25.0,10.0,15.0,25.0,30.0,LOW
Swargadwari Temple,28.06,82.8,Pyuthan,3.0,5.0,0.0,3.0,5.0,20.0,20.0,5.0,25.0,35.0,42.0,MEDIUM
Rolpa Jaljala,28.42,82.65,Rolpa,10.0,15.0,5.0,3.0,9.0,0.0,0.0,0.0,100.0,85.0,85.0,HIGH
Rukum East Putha,28.7,82.6,Rukum East,15.0,18.0,10.0,2.0,10.0,0.0,0.0,0.0,100.0,95.0,92.0,HIGH
Dolpa Dunai,29.0,82.83,Dolpa,12.0,15.0,10.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,85.0,HIGH
Phoksundo Village,29.22,82.96,Dolpa,10.0,18.0,12.0,3.0,8.0,0.0,0.0,0.0,100.0,90.0,88.0,HIGH
Khumjung Village,27.83,86.73,Solukhumbu,4.0,8.0,6.0,1.0,5.0,0.0,1.0,0.0,90.0,70.0,78.0,HIGH
Dingboche Village,27.89,86.83,Solukhumbu,7.0,10.0,9.0,1.0,6.0,0.0,0.0,0.0,100.0,85.0,91.0,HIGH
Imja Lake,27.9,86.93,Solukhumbu,6.0,14.0,12.0,3.0,8.0,0.0,0.0,0.0,100.0,95.0,97.0,HIGH
Ama Dablam Base Camp,27.86,86.86,Solukhumbu,8.0,12.0,10.0,1.0,7.0,0.0,0.0,0.0,100.0,92.0,95.0,HIGH
Pikey Peak,27.65,86.5,Solukhumbu,3.0,7.0,5.0,2.0,5.0,0.0,1.0,0.0,90.0,65.0,75.0,HIGH
Thame Village,27.95,86.71,Solukhumbu,5.0,9.0,7.0,2.0,6.0,0.0,0.0,0.0,100.0,78.0,89.0,HIGH
Mera Peak Base Camp,27.7,86.92,Solukhumbu,9.0,15.0,13.0,1.0,8.0,0.0,0.0,0.0,100.0,98.0,99.0,HIGH
Makalu Base Camp,27.75,87.1,Sankhuwasabha,8.0,16.0,14.0,2.0,9.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Kanchenjunga Base Camp,27.7,88.0,Taplejung,10.0,18.0,15.0,3.0,10.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Milke Danda,27.35,87.5,Tehrathum,3.0,8.0,4.0,3.0,5.0,1.0,1.0,0.0,85.0,65.0,73.0,HIGH
Mai Pokhari,26.9,87.93,Ilam,1.0,4.0,0.0,5.0,3.0,8.0,5.0,1.0,35.0,35.0,35.0,MEDIUM
Kanyam Tea Garden,26.86,88.0,Ilam,1.0,2.0,0.0,3.0,2.0,10.0,7.0,2.0,30.0,25.0,28.0,LOW
Sandakpur,26.88,87.9,Ilam,3.0,6.0,2.0,3.0,4.0,2.0,2.0,0.0,70.0,55.0,61.0,MEDIUM
