key,city,area,district,province,display_name
"27.7714811,86.722963",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Monjo, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56000, नेपाल"
"27.7435581,86.7128481",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Sano Gumela, Khumbupasanglahmu-03, Phakding, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.8914385,87.0884403",,,,,中国
"27.8565776,86.7880999",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Pangboche, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.5796638,84.4944877",रत्ननगर नगरपालिका,,चितवन जिल्ला,बागमती प्रदेश,"Bachhauli, Ratnanagar-06, रत्ननगर नगरपालिका, चितवन जिल्ला, बागमती प्रदेश, 44203, नेपाल"
"27.581435,84.5084926",रत्ननगर नगरपालिका,,चितवन जिल्ला,बागमती प्रदेश,"Bachhauli, Ratnanagar-06, रत्ननगर नगरपालिका, चितवन जिल्ला, बागमती प्रदेश, 44203, नेपाल"
"27.5741111,84.4937879",रत्ननगर नगरपालिका,,चितवन जिल्ला,बागमती प्रदेश,"Bachhauli, Ratnanagar-06, रत्ननगर नगरपालिका, चितवन जिल्ला, बागमती प्रदेश, 44203, नेपाल"
"27.5823723,84.5075435",रत्ननगर नगरपालिका,,चितवन जिल्ला,बागमती प्रदेश,"Bachhauli, Ratnanagar-06, रत्ननगर नगरपालिका, चितवन जिल्ला, बागमती प्रदेश, 44203, नेपाल"
"27.7179328,85.3088723",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.5943703,84.4814665",भरतपुर,,चितवन जिल्ला,बागमती प्रदेश,"Bharatpur-08, भरतपुर, भरतपुर महानगरपालिका, चितवन जिल्ला, बागमती प्रदेश, 44200, नेपाल"
"27.8657895,83.5442615",Tansen,,पाल्पा,लुम्बिनी प्रदेश,"Tansen--04, Tansen, पाल्पा, लुम्बिनी प्रदेश, नेपाल"
"28.2034895,83.9626075",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"27.9733654,86.9302508",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Khumbupasanglahmu-04, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"28.2078818,83.9575377",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"27.4828061,87.9126748",सिरिजङ्घा गाउँपालिका,,ताप्लेजुङ जिल्ला,कोशी प्रदेश,"New Jhoreni, Sirijangha-08, सिरिजङ्घा गाउँपालिका, ताप्लेजुङ जिल्ला, कोशी प्रदेश, नेपाल"
"27.575468,87.9800844",फक्ताङलुङ गाउँपालिका,,ताप्लेजुङ जिल्ला,कोशी प्रदेश,"Tseram, Phaktanglung-05, फक्ताङलुङ गाउँपालिका, ताप्लेजुङ जिल्ला, कोशी प्रदेश, नेपाल"
"27.61795,87.9412295",फक्ताङलुङ गाउँपालिका,,ताप्लेजुङ जिल्ला,कोशी प्रदेश,"सेलेले, Phaktanglung-05, फक्ताङलुङ गाउँपालिका, ताप्लेजुङ जिल्ला, कोशी प्रदेश, नेपाल"
"28.1426408,85.3603938",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"डोमेन, ठुलो स्याप्रु, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.0344607,85.4814679",दुप्चेश्वर गाउँपालिका,,नुवाकोट जिल्ला,बागमती प्रदेश,"दुप्चेश्वर गाउँपालिका, नुवाकोट जिल्ला, बागमती प्रदेश, नेपाल"
"28.1106827,85.3402831",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"चंदन बाडी, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.0841016,85.4100228",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"गोसाइँकुण्ड, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.3006837,83.8487103",Machhapuchchhre,,कास्की,गण्डकी प्रदेश,"Lower Dhampus, Machhapuchchhre-07, Dhampus, Machhapuchchhre, कास्की, गण्डकी प्रदेश, 33711, नेपाल"
"28.1427659,85.360258",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"डोमेन, ठुलो स्याप्रु, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"27.3966865,87.7107343",फुङलिङ नगरपालिका,,ताप्लेजुङ जिल्ला,कोशी प्रदेश,"Bhanjyang, Phungling-10, Phurumbu, फुङलिङ नगरपालिका, ताप्लेजुङ जिल्ला, कोशी प्रदेश, 57500, नेपाल"
"28.1588314,85.4210754",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"Rimche, Gosaikunda-04, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.2176703,85.5706875",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"क्याङजिन गोँपा, Gosaikunda-04, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.1401352,85.3713442",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"डोमेन, ठुलो स्याप्रु, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"27.675673,85.3132198",ललितपुर,,ललितपुर जिल्ला,बागमती प्रदेश,"Lalitpur-04, ललितपुर, ललितपुर महानगरपालिका, ललितपुर जिल्ला, बागमती प्रदेश, 40000, नेपाल"
"27.7935073,86.7158913",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"जोरसले, Khumbupasanglahmu-05, Monjo, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.8025621,86.7153093",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"नाम्चे बजार, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.94847,86.6151392",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Chhule, Khumbupasanglahmu-05, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.9473697,86.6584966",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Khumbupasanglahmu-04, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.8050237,86.7106252",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"नाम्चे बजार, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.8456213,86.7486502",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Thulang, Khumbupasanglahmu-04, Phortse, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.716056,85.3080357",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.8050388,86.714347",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"नाम्चे बजार, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"28.216607,83.9585057",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.970483,80.183871",भिमदत्त,,कञ्चनपुर जिल्ला,सुदूरपश्चिम प्रदेश,"Bhimdatta-04, भिमदत्त, कञ्चनपुर जिल्ला, सुदूरपश्चिम प्रदेश, 10400, नेपाल"
"28.2103363,83.9598865",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.2068464,83.9614103",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"27.9460706,85.9501284",भोटेकोशी गाउँपालिका,,सिन्धुपाल्चोक जिल्ला,बागमती प्रदेश,"कोदारी, Bhotekoshi-02, भोटेकोशी गाउँपालिका, सिन्धुपाल्चोक जिल्ला, बागमती प्रदेश, नेपाल"
"27.5723219,86.584273",सोलुदुधकुण्ड नगरपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Phera, Solududhkunda-02, Salung, सोलुदुधकुण्ड नगरपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 50600, नेपाल"
"27.569184,86.583238",सोलुदुधकुण्ड नगरपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Phera, Solududhkunda-02, Salung, सोलुदुधकुण्ड नगरपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 50600, नेपाल"
"27.7113111,85.3117495",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-26, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7236518,85.5255411",मण्डनदेउपुर नगरपालिका,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"गैरीगाउँ, Mandandeupur-01, मण्डनदेउपुर नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 44812, नेपाल"
"28.1967156,83.9511556",Pokhara,,कास्की,गण्डकी प्रदेश,"polutry Farm, Pokhara-22, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"27.7240767,85.5257353",मण्डनदेउपुर नगरपालिका,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"गैरीगाउँ, Mandandeupur-01, मण्डनदेउपुर नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 44812, नेपाल"
"28.200927,83.9453191",Pokhara,,कास्की,गण्डकी प्रदेश,"polutry Farm, Pokhara-22, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.2810894,84.3582715",Marsyangdi,,लमजुङ,गण्डकी प्रदेश,"Khudi, Marsyangdi, लमजुङ, गण्डकी प्रदेश, 33600, नेपाल"
"28.2934154,84.3713523",Marsyangdi,,लमजुङ,गण्डकी प्रदेश,"Khudi, Marsyangdi, लमजुङ, गण्डकी प्रदेश, 33600, नेपाल"
"28.3444422,84.4079363",Marsyangdi,,लमजुङ,गण्डकी प्रदेश,"Lampata, Marsyangdi-06, Bahundanda, Marsyangdi, लमजुङ, गण्डकी प्रदेश, 36000, नेपाल"
"28.5442936,84.3018922",Chame,,मनाङ,गण्डकी प्रदेश,"Lata Marang, Chame-01, Kurung, Chame, मनाङ, गण्डकी प्रदेश, 33500, नेपाल"
"28.5273044,84.3044287",Chame,,मनाङ,गण्डकी प्रदेश,"Lata Marang, Chame-01, Kurung, Chame, मनाङ, गण्डकी प्रदेश, 33500, नेपाल"
"28.5526445,84.2414701",Chame,,मनाङ,गण्डकी प्रदेश,"Chame-05, Chame, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.6419161,84.1371513",Neshyang,,मनाङ,गण्डकी प्रदेश,"Ghyaru, Neshyang-02, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.6802075,83.9066189",Neshyang,,मनाङ,गण्डकी प्रदेश,"Tilicho Base Camp, Neshyang-09, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.6383162,84.0902139",Neshyang,,मनाङ,गण्डकी प्रदेश,"Humde, Neshyang-04, Ngawal, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.7772492,83.9725759",Neshyang,,मनाङ,गण्डकी प्रदेश,"Thorong Phedi, Neshyang-08, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.6846564,83.9988506",Neshyang,,मनाङ,गण्डकी प्रदेश,"Gunsang, Neshyang-08, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.7827334,83.9675199",Neshyang,,मनाङ,गण्डकी प्रदेश,"Thorong High Camp, Neshyang-08, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"28.7828609,83.9675305",Neshyang,,मनाङ,गण्डकी प्रदेश,"Thorong High Camp, Neshyang-08, Neshyang, मनाङ, गण्डकी प्रदेश, नेपाल"
"27.717619,85.3115799",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-26, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7187929,85.3115107",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7152564,85.3112966",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-26, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7177391,85.3101198",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7173404,85.3101843",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7170604,85.3101629",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7155417,85.3091972",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.7099108,85.306275",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-18, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"29.1889677,83.9509449",लोमान्थाङ,,मुस्ताङ,गण्डकी प्रदेश,"Namgyal, लोमान्थाङ, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"27.7098396,85.3065477",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-18, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"29.0927173,83.9336999",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Charang, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"29.2071415,83.9403367",लोमान्थाङ,,मुस्ताङ,गण्डकी प्रदेश,"Kimaling, Lomanthang-03, लोमान्थाङ, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.2061619,83.9608862",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"29.1827214,83.9575704",लोमान्थाङ,,मुस्ताङ,गण्डकी प्रदेश,"Lomanthang-05, लोमान्थाङ, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.5420799,83.6488348",Annapurna,,म्याग्दी,गण्डकी प्रदेश,"Dāna, Annapurna-03, Ligma, Annapurna, म्याग्दी, गण्डकी प्रदेश, नेपाल"
"28.4954006,83.6535966",Annapurna,,म्याग्दी,गण्डकी प्रदेश,"Tatopani, Annapurna, म्याग्दी, गण्डकी प्रदेश, नेपाल"
"28.445098,83.6683769",Annapurna,,म्याग्दी,गण्डकी प्रदेश,"Shikha, Annapurna, म्याग्दी, गण्डकी प्रदेश, नेपाल"
"28.4236248,83.694183",Annapurna,,म्याग्दी,गण्डकी प्रदेश,"Chitre, Annapurna, म्याग्दी, गण्डकी प्रदेश, नेपाल"
"28.2035185,83.9665202",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.2069931,83.9623749",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.9311864,83.8263811",Barhagaun Muktikhsetra,,मुस्ताङ,गण्डकी प्रदेश,"Chele, Barhagaun Muktikhsetra, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.8377231,83.7846378",Barhagaun Muktikhsetra,,मुस्ताङ,गण्डकी प्रदेश,"Kāgbeni, Barhagaun Muktikhsetra, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.9309159,83.8262165",Barhagaun Muktikhsetra,,मुस्ताङ,गण्डकी प्रदेश,"Chele, Barhagaun Muktikhsetra, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.2037058,83.9674472",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"29.0640428,83.8729595",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Ghami, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"29.0877217,83.9274622",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Charang, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"29.0921455,83.9326039",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Charang, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"29.0997995,83.9341791",लोमान्थाङ,,मुस्ताङ,गण्डकी प्रदेश,"Lomanthang-05, लोमान्थाङ, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.9914409,83.8387938",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Sangboche, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.991169,83.8380309",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Sangboche, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"29.0069416,83.8567443",Dalome,,मुस्ताङ,गण्डकी प्रदेश,"Ghilin, Dalome, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
