raw_value,district,province,source,matched_destination_count,created_at
Rukum West,Dolpa,Karnali,coordinate_derived,9,2026-09-12
कालीकोट,Surkhet,Karnali,coordinate_derived,9,2026-09-12
डडेलधुरा,Kanchanpur,Sudurpashchim,coordinate_derived,9,2026-09-12
पाँचथर जिल्ला,Ilam,Koshi,coordinate_derived,9,2026-09-12
सङ्खुवासभा जिल्ला,Solukhumbu,Koshi,coordinate_derived,9,2026-09-12
गुल्मी,Palpa,Lumbini,coordinate_derived,8,2026-09-12
बझाङ,Mugu,Karnali,coordinate_derived,8,2026-09-12
मकवानपुर,Kathmandu,Bagmati,coordinate_derived,8,2026-09-12
Nawalparasi West,Chitwan,Bagmati,coordinate_derived,7,2026-09-12
डोटी,Kailali,Sudurpashchim,coordinate_derived,7,2026-09-12
नवलपुर,Chitwan,Bagmati,coordinate_derived,7,2026-09-12
सप्तरी जिल्ला,Dhanusha,Madhesh,coordinate_derived,7,2026-09-12
Nawalparasi W,Rupandehi,Lumbini,coordinate_derived,6,2026-09-12
Dharan,Ilam,Koshi,coordinate_derived,5,2026-09-12
अछाम,Mugu,Karnali,coordinate_derived,5,2026-09-12
खोटाङ,Solukhumbu,Koshi,coordinate_derived,5,2026-09-12
दाङ देउखुरी,Rupandehi,Lumbini,coordinate_derived,5,2026-09-12
पूर्वी रुकुम,Dolpa,Karnali,coordinate_derived,5,2026-09-12
ओखलढुङ्गा जिल्ला,Solukhumbu,Koshi,coordinate_derived,4,2026-09-12
जुम्ला,Mugu,Karnali,coordinate_derived,4,2026-09-12
पर्सा जिल्ला,Parsa,Madhesh,coordinate_derived,4,2026-09-12
पश्चिमी रुकुम,Surkhet,Karnali,coordinate_derived,4,2026-09-12
बाजुरा,Mugu,Karnali,coordinate_derived,4,2026-09-12
Doti/Sudurpaschim,Mugu,Karnali,coordinate_derived,3,2026-09-12
Rukum,Dolpa,Karnali,coordinate_derived,3,2026-09-12
उदयपुर जिल्ला,Dhanusha,Madhesh,coordinate_derived,3,2026-09-12
चितवन,Chitwan,Bagmati,coordinate_derived,3,2026-09-12
धनकुटा,Ilam,Koshi,coordinate_derived,3,2026-09-12
बारा जिल्ला,Parsa,Madhesh,coordinate_derived,3,2026-09-12
बैतडी,Kanchanpur,Sudurpashchim,coordinate_derived,3,2026-09-12
महोत्तरी जिल्ला,Dhanusha,Madhesh,coordinate_derived,3,2026-09-12
Palpa/Rupandehi,Palpa,Lumbini,coordinate_derived,2,2026-09-12
Solu Khumbu,Solukhumbu,Koshi,coordinate_derived,2,2026-09-12
जाजरकोट,Surkhet,Karnali,coordinate_derived,2,2026-09-12
दार्चुला,Kanchanpur,Sudurpashchim,coordinate_derived,2,2026-09-12
धनुषा,Dhanusha,Madhesh,coordinate_derived,2,2026-09-12
बागलुङ,Kaski,Gandaki,coordinate_derived,2,2026-09-12
भक्तपुर,Lalitpur,Bagmati,coordinate_derived,2,2026-09-12
रामेछाप,Solukhumbu,Koshi,coordinate_derived,2,2026-09-12
सर्लाही जिल्ला,Dhanusha,Madhesh,coordinate_derived,2,2026-09-12
50-150,Kanchanpur,Sudurpashchim,coordinate_derived,1,2026-09-12
Chitwan/Nuwakot,Kathmandu,Bagmati,coordinate_derived,1,2026-09-12
District,Lalitpur,Bagmati,coordinate_derived,1,2026-09-12
Dolakha/Ramechhap,Bhaktapur,Bagmati,coordinate_derived,1,2026-09-12
Dolpo,Mustang,Gandaki,coordinate_derived,1,2026-09-12
Gandaki,Palpa,Lumbini,coordinate_derived,1,2026-09-12
Gasa (Bhutan border),Ilam,Koshi,coordinate_derived,1,2026-09-12
Gulmi/Lumbini,Palpa,Lumbini,coordinate_derived,1,2026-09-12
Itahari,Ilam,Koshi,coordinate_derived,1,2026-09-12
Kanyam,Ilam,Koshi,coordinate_derived,1,2026-09-12
Karnali,Mugu,Karnali,coordinate_derived,1,2026-09-12
Kaski/Gandaki,Kaski,Gandaki,coordinate_derived,1,2026-09-12
Kaski/Gorkha,Surkhet,Karnali,coordinate_derived,1,2026-09-12
Koshi,Mugu,Karnali,coordinate_derived,1,2026-09-12
Lumbini,Palpa,Lumbini,coordinate_derived,1,2026-09-12
Makalu Region,Ilam,Koshi,coordinate_derived,1,2026-09-12
Manang/Gandaki,Mustang,Gandaki,coordinate_derived,1,2026-09-12
Manang/Mustang,Mustang,Gandaki,coordinate_derived,1,2026-09-12
Manang/Mustang/Myagdi,Manang,Gandaki,coordinate_derived,1,2026-09-12
Nawalparasi,Rupandehi,Lumbini,coordinate_derived,1,2026-09-12
Nepalgunj,Surkhet,Karnali,coordinate_derived,1,2026-09-12
Nuwakot/Bhaktapur,Kathmandu,Bagmati,coordinate_derived,1,2026-09-12
Nuwakot/Budhanilkantha,Kathmandu,Bagmati,coordinate_derived,1,2026-09-12
Parbat/Gandaki,Kaski,Gandaki,coordinate_derived,1,2026-09-12
Pardaha/Madhesh,Parsa,Madhesh,coordinate_derived,1,2026-09-12
Pathibhara,Ilam,Koshi,coordinate_derived,1,2026-09-12
Rasuwa/Dhading,Kathmandu,Bagmati,coordinate_derived,1,2026-09-12
Saptari/Morang,Ilam,Koshi,coordinate_derived,1,2026-09-12
Sudurpashchim,Kailali,Sudurpashchim,coordinate_derived,1,2026-09-12
Surkhet/Jumla,Surkhet,Karnali,coordinate_derived,1,2026-09-12
Syangja/Gandaki,Kaski,Gandaki,coordinate_derived,1,2026-09-12
Tehrathum,Rupandehi,Lumbini,coordinate_derived,1,2026-09-12
Tpalejung,Ilam,Koshi,coordinate_derived,1,2026-09-12
अर्घाखाँची,Rupandehi,Lumbini,coordinate_derived,1,2026-09-12
काभ्रेपलाञ्चोक,Bhaktapur,Bagmati,coordinate_derived,1,2026-09-12
खोटाङ जिल्ला,Solukhumbu,Koshi,coordinate_derived,1,2026-09-12
तेह्रथुम जिल्ला,Ilam,Koshi,coordinate_derived,1,2026-09-12
दोलखा,Solukhumbu,Koshi,coordinate_derived,1,2026-09-12
महोत्तरी,Dhanusha,Madhesh,coordinate_derived,1,2026-09-12
रसुवा,Kathmandu,Bagmati,coordinate_derived,1,2026-09-12
सर्लाही,Dhanusha,Madhesh,coordinate_derived,1,2026-09-12
सल्यान,Surkhet,Karnali,coordinate_derived,1,2026-09-12
