name,amenity,tourism,office,emergency,phone,email,website,opening_hours,operator,brand,addr:street,addr:city,addr:postcode,latitude,longitude
Hotel Dolphin,Not Available,guest_house,Not Available,Not Available,Not Available,hoteldolphinguesthouse@gmail.com,Not Available,Not Available,Not Available,Bed & Breakfast,Gaa Hiti Marg,Thamel,44600,27.7173793,85.3121267
Kathmandu Aagantuk Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7174783,85.3111977
Hotel Norbulinka,Not Available,hotel,Not Available,Not Available,9802063088;9851082923,reservation@hotelnorbulinka.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7172551,85.3124959
Mandap,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7162296,85.3098996
Zzang,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7175115,85.3106935
भिल्ला एभरेस्ट,Not Available,hotel,Not Available,Not Available,4413471,Not Available,http://www.villaeverest.com.np,Mo-Fr 09:00-22:30; Sa-Su 09:00-22:30,Not Available,Not Available,Not Available,Not Available,Not Available,27.7170023,85.3130629
Holy Lodge,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7158876,85.3097549
Acme Guest House,Not Available,hotel,Not Available,Not Available,9851076293,acme@wlink.com.np,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7158262,85.3106242
Prince,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7157449,85.3098144
Northfield Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7158128,85.3103243
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NIC Bank,Not Available,Not Available,Not Available,Not Available,27.7063307,85.3428173
Radisson Hotel Kathmandu,Not Available,hotel,Not Available,Not Available,+977 1-4411818,reservation@radkat.com.np; radisson@radkat.com.np; sales@radkat.com.np,https://www.radisson.com/kathmandu,24/7,http://www.radisson.com/kathmandu-hotel-np/nepkathm,Radisson,Lazimpat,Kathmandu,Not Available,27.7200685,85.3214693
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NABIL Bank,Not Available,Not Available,Not Available,Not Available,27.697447,85.3498155
Hotel Yambu Kathmandu,Not Available,hotel,Not Available,Not Available,9841326314,rajbktm@gmail.com,http://www.hotelyambu.com,Not Available,Not Available,Not Available,Not Available,Not Available,44600,27.7177674,85.3115829
Nabil Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6941109,85.3137108
Prakash Pharmacia,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6960583,85.3073164
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nabil Bank,Not Available,Not Available,Not Available,Not Available,27.7140322,85.3141541
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7113301,85.3083424
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7114581,85.3085568
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7112444,85.3087714
सैनिक अस्पताल,hospital,Not Available,Not Available,yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7114391,85.2913209
Om Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7033822,85.3127057
Haus Namaste,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7050453,85.2965534
Agriculture Development Bank ( Ratna Park Branch ),bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bank Marga,Not Available,Not Available,27.7072789,85.3177198
Kamal Pokhari Police Station,police,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7101998,85.3254243
Kathmandu Peace Guest House;Tea & Souvenirs,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,https://www.hotel-in-nepal.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7164834,85.3107886
Pabitra Progress Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7134784,85.2990496
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7133001,85.2942484
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7110548,85.2952002
स्वयम्भू सामुदायिक स्वास्थ्य क्लिनिक,clinic,Not Available,Not Available,Not Available,014280269,Not Available,Not Available,Su-Fr 08:00-15:30,Not Available,Not Available,Siddhartha Sadak,Not Available,44620,27.7110872,85.2954603
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7106217,85.297264
Kharsang Guest House,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7118852,85.3099428
सनराइज बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7031169,85.3414151
Sanima Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,\,Not Available,Not Available,27.7145684,85.3262291
Lumbini Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7151149,85.3266594
दरबारमार्ग प्रहरी चौकी,police,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Nepal Police,Not Available,Not Available,Not Available,Not Available,27.7130123,85.318138
नबिल बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7099194,85.3149372
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ATM LOUNGE,Not Available,Not Available,Not Available,Not Available,27.6994312,85.3132707
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nabil Bank,Not Available,Not Available,Not Available,Not Available,27.6982381,85.3131777
नेपाल इन्वेस्त्मेंट बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6882987,85.3340321
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Himalayan Bank,Not Available,Not Available,Not Available,Not Available,27.6884303,85.333801
Rastriya Banijya Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6906639,85.3362084
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Rastriya Banijya Bank,Not Available,Not Available,Not Available,Not Available,27.7031319,85.3131153
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Rastriya Banijya Bank,Not Available,Not Available,Not Available,Not Available,27.7059142,85.3135557
Traffic station,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.694123,85.2821442
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.694617,85.2851482
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6943142,85.28477
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Himalayan Bank,Not Available,Not Available,Not Available,Not Available,27.7189758,85.331725
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Machhapuchchhre Bank Limited c,Not Available,Not Available,Not Available,Not Available,27.7248812,85.3307138
Vibor Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,काठमाडौं,Not Available,27.7318305,85.3439742
Subekchya Hostel,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6875866,85.333969
Manjushree Financial Institution Pvt. Ltd.,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6881371,85.3350384
Suryadarshan Finance Company,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6880182,85.334914
Laxmi Bank Limited,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7204967,85.3316749
रुसी मेडिकल हल,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7232476,85.3335001
Department of Drug Administration,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6900858,85.3297617
Nabil Bank Pvt. Ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.nabilbank.com/,Not Available,Nabil Bank,Not Available,Devkota Sadak,Kathmandu,Not Available,27.6891417,85.3355826
Civil Aviation Authority of Nepal,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6979483,85.3545522
माछापुच्छ्रे बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6921616,85.3183198
National Investigation Department,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6937532,85.3262094
NMB Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NMB Bank,Not Available,Not Available,Not Available,Not Available,27.6926462,85.3262484
Not Available,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6940614,85.3247934
Department of Urban Development and Building Construction,Not Available,Not Available,government,Not Available,Not Available,Not Available,https://dudbc.gov.np/,Not Available,Not Available,Not Available,Bijulibazar Rd,Kathmandu,Not Available,27.6940474,85.3237378
Machhapuchchhre Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7142647,85.3249102
Social Development Bank Limited,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7148423,85.324945
येस विकास बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7155309,85.3253437
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kumari Bank,Not Available,Not Available,Not Available,Not Available,27.7147666,85.3279618
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Global IME bank,Not Available,Not Available,Not Available,Not Available,27.7147888,85.3280137
आरोग्य आश्रम,hospital,Not Available,Not Available,Not Available,014412075,Not Available,Not Available,Not Available,Dr. Pramod Kumar Gautam,Not Available,Thirbam Sadak,Kathmandu,Not Available,27.7177828,85.3304899
Adit Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7167401,85.3303491
Abiral Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7188321,85.3309027
Shiddibinayak Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7199639,85.3312409
एनसीसी बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7058923,85.3191693
Everest Bank Limited,bank,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.everestbankltd.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7059238,85.3189514
Agricultural Development Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7397292,85.3379532
Bank Of Kathmandu,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.740689,85.3362946
Bank of Asia,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7395969,85.338283
Hotel Karnali,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7398257,85.3379978
Mega Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7403406,85.3361297
Nepal Bank Ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7384196,85.3393933
"Nepal Investmant Bank, Maharajganj",bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.737416,85.3412657
Om Finance Ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7401647,85.3365421
Siddhartha Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7405696,85.3364633
Sunrise Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7393442,85.3381195
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nepal SBI Bank,Not Available,Not Available,Not Available,Not Available,27.7393042,85.3391268
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Global IME Bank,Not Available,Not Available,Not Available,Not Available,27.7393307,85.3391418
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Himalayan Bank,Not Available,Not Available,Not Available,Not Available,27.7393539,85.3391625
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nepal Investment Bank,Not Available,Not Available,Not Available,Not Available,27.7396127,85.3381069
Nepal Investment Bank,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7039552,85.3322874
Nabil Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7036199,85.3339763
Rastriya Banijya Bank Ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7037123,85.3336869
Department of Rail,public_building,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7051453,85.3385662
Nepal Investment Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nepal Investment Bank,Not Available,Not Available,Not Available,Not Available,27.703484,85.3411548
Himalaya Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7029261,85.3411545
किष्ट बैंक,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7048764,85.3293037
Mahanagariya Prahari Parisar,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7039529,85.3327052
Mega Bank Ltd.,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7037621,85.3335568
हिमालय बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7070549,85.3335234
Jal binayak sahakary sanstha,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6997587,85.3212158
कृष्ण मेडिकल हल,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7000109,85.3217711
Not Available,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7000172,85.3218067
अवन्त बचत तथा ऋण सहकारी संस्था,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.700364,85.3219073
सिद्धार्थ बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.70112,85.3220059
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Siddhartha bank atm,Not Available,Not Available,Not Available,Not Available,27.701071,85.3220429
Rastriya Banijya Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7016958,85.3224285
A-one Saving and Credit Co-operatives,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7021298,85.322482
Jaya Bindavasini Saving and Co-operatives,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7023717,85.3222665
Mahalaxmi Finance ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7025937,85.3223383
Nise Pharma,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.702921,85.3225629
Kumari Bank Ltd,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7029225,85.3223046
